,stimulus,CID,dilution,solvent,components,solvent_onehot,dilution_info,cmp_ids,mix_rata,all_rata
92,AD917,"[7909, 439570]","[0.001, 0.1]","['pg', 'pg']","[432, 213]","[0, 0]","[[0.001, 0.1], [0, 0]]","[113, 50]","[0.38753676470000004, 0.6074172794, 0.0663602941, 0.00625, 0.0566176471, 0.3358455882, 0.0575367647, 0.0154411765, 0.003125, 0.0476102941, 0.0779411765, 0.003125, 0.0, 0.0211397059, 0.0, 0.14669117650000002, 0.0088235294, 0.0088235294, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0125, 0.0176470588, 0.0, 0.0, 0.009375, 0.021875, 0.0, 0.00625, 0.0, 0.003125, 0.0, 0.003125, 0.0, 0.0181985294, 0.011948529400000001, 0.0147058824, 0.0125, 0.0, 0.0, 0.0492647059, 0.00625, 0.0352941176, 0.11488970590000001, 0.0181985294, 0.003125, 0.021875, 0.0400735294, 0.00625, 0.0]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
93,AD919,"[12206, 7127]","[0.001, 0.2]","['pg', 'pg']","[83, 344]","[0, 0]","[[0.001, 0.2], [0, 0]]","[17, 89]","[0.44801733195, 0.50533088235, 0.0779677673, 0.0182389937, 0.06409198109999999, 0.0081761006, 0.0635220126, 0.0327044025, 0.0427476415, 0.027535377399999998, 0.11939858490000001, 0.0075471698000000005, 0.026277515699999997, 0.0500196541, 0.0031446541000000002, 0.0950668239, 0.025, 0.01875, 0.0188286164, 0.016902515700000002, 0.010062893100000001, 0.0262578616, 0.0575275157, 0.009375, 0.039406446500000004, 0.0025157233, 0.0012578616, 0.016902515700000002, 0.0125, 0.040625, 0.071875, 0.0318985849, 0.033805031400000005, 0.028144654100000003, 0.0, 0.042118710700000006, 0.010062893100000001, 0.10864779869999999, 0.0106918239, 0.0, 0.0125, 0.0544221698, 0.0188679245, 0.0427672956, 0.0112814465, 0.0477987421, 0.022641509400000003, 0.0163325472, 0.025786163499999997, 0.0263954403, 0.019496855299999998, 0.050314465399999994, 0.0176100629]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
94,AD994,"[325, 20499]","[0.2, 0.02]","['pg', 'pg']","[184, 133]","[0, 0]","[[0.2, 0.02], [0, 0]]","[45, 32]","[0.25366666665, 0.24666666665, 0.13, 0.0166666667, 0.1533333333, 0.0, 0.0466666667, 0.033333333300000004, 0.023333333300000002, 0.02, 0.0166666667, 0.0, 0.01, 0.02, 0.0, 0.0766666667, 0.0266666667, 0.0166666667, 0.0933333333, 0.023333333300000002, 0.0133333333, 0.0466666667, 0.0433333333, 0.023333333300000002, 0.023333333300000002, 0.0066666667, 0.0, 0.0066666667, 0.0066666667, 0.0, 0.0, 0.0466666667, 0.05, 0.01, 0.053333333299999994, 0.0633333333, 0.03, 0.06, 0.0166666667, 0.0066666667, 0.01, 0.0, 0.0366666667, 0.01, 0.01, 0.0066666667, 0.0, 0.0666666667, 0.0, 0.0, 0.03, 0.033333333300000004, 0.02]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
95,AE002,"[79104, 11552]","[0.3, 0.01]","['pg', 'pg']","[433, 65]","[0, 0]","[[0.3, 0.01], [0, 0]]","[114, 12]","[0.3278125, 0.196875, 0.003125, 0.0, 0.0125, 0.0, 0.015625, 0.00625, 0.0125, 0.00625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01875, 0.0, 0.0, 0.0125, 0.0, 0.01875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.0, 0.009375, 0.0, 0.0, 0.0, 0.028125, 0.040625, 0.01875, 0.0, 0.015625, 0.01875, 0.046875, 0.0, 0.06875, 0.028125, 0.125, 0.028125, 0.33125, 0.009375, 0.021875, 0.009375]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
96,AE042,"[5324978, 7222]","[0.3, 0.1]","['pg', 'pg']","[243, 360]","[0, 0]","[[0.3, 0.1], [0, 0]]","[60, 94]","[0.59921875, 0.34343749999999995, 0.05, 0.015625, 0.037500000000000006, 0.00625, 0.034375, 0.021875, 0.034375, 0.025, 0.025, 0.009375, 0.018750000000000003, 0.037500000000000006, 0.0, 0.053125000000000006, 0.0125, 0.01875, 0.0125, 0.04375, 0.009375, 0.0, 0.034375, 0.00625, 0.028124999999999997, 0.028124999999999997, 0.0, 0.0, 0.00625, 0.003125, 0.028125, 0.028125, 0.046875, 0.078125, 0.021875, 0.05, 0.103125, 0.2, 0.19375, 0.18437499999999998, 0.015625, 0.05625, 0.153125, 0.0875, 0.09375, 0.040625, 0.00625, 0.03125, 0.028125, 0.040625, 0.0625, 0.0375, 0.015625]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
97,AE043,"[10886, 2758778]","[0.2, 0.01]","['dep', 'pg']","[38, 159]","[1, 0]","[[0.2, 0.01], [1, 0]]","[5, 40]","[0.5440624999999999, 0.600625, 0.053125000000000006, 0.03125, 0.075, 0.040625, 0.05, 0.0125, 0.11562499999999999, 0.01875, 0.146875, 0.0625, 0.09375, 0.0625, 0.01875, 0.18125000000000002, 0.01875, 0.034375, 0.01875, 0.00625, 0.0125, 0.225, 0.215625, 0.015625, 0.190625, 0.0375, 0.0, 0.015625, 0.0, 0.040625, 0.024999999999999998, 0.034375, 0.06875, 0.025, 0.003125, 0.00625, 0.009375, 0.034375, 0.003125, 0.0, 0.0, 0.0125, 0.003125, 0.009375, 0.0, 0.009375, 0.00625, 0.0, 0.0, 0.025, 0.0, 0.028125, 0.00625]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
98,AE061,"[11702, 7222]","[0.1, 0.1]","['pg', 'pg']","[69, 360]","[0, 0]","[[0.1, 0.1], [0, 0]]","[13, 94]","[0.6660937499999999, 0.46062499999999995, 0.06875, 0.015625, 0.0625, 0.09062500000000001, 0.04375, 0.053125, 0.034375, 0.037500000000000006, 0.0125, 0.0, 0.00625, 0.0125, 0.0, 0.04375, 0.018750000000000003, 0.01875, 0.0125, 0.053125, 0.009375, 0.0, 0.01875, 0.00625, 0.03125, 0.00625, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.021875, 0.04375, 0.05, 0.018750000000000003, 0.059375, 0.028125, 0.16562500000000002, 0.084375, 0.015625, 0.0, 0.037500000000000006, 0.15625, 0.059375, 0.037500000000000006, 0.31562500000000004, 0.16875, 0.10625, 0.028125, 0.090625, 0.0625, 0.059375, 0.021875]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
99,AE067,"[5324978, 1140]","[0.3, 0.01]","['pg', 'pg']","[243, 60]","[0, 0]","[[0.3, 0.01], [0, 0]]","[60, 10]","[0.39078125, 0.3653125, 0.046875, 0.00625, 0.021875, 0.0, 0.034375, 0.00625, 0.025, 0.009375, 0.034375, 0.009375, 0.0125, 0.040625, 0.0, 0.06875, 0.0, 0.0125, 0.0, 0.003125, 0.0125, 0.00625, 0.078125, 0.00625, 0.018750000000000003, 0.021875, 0.00625, 0.00625, 0.028124999999999997, 0.040625, 0.0125, 0.03125, 0.025, 0.04375, 0.0125, 0.025, 0.08437499999999999, 0.1375, 0.146875, 0.18437499999999998, 0.025, 0.03125, 0.021875, 0.040625, 0.084375, 0.028125, 0.00625, 0.0125, 0.0, 0.00625, 0.003125, 0.0, 0.0]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
100,AE099,"[78944, 9261]","[0.1, 0.1]","['pg', 'pg']","[431, 527]","[0, 0]","[[0.1, 0.1], [0, 0]]","[112, 140]","[0.5582812500000001, 0.47359375, 0.05625, 0.0125, 0.046875, 0.271875, 0.053125, 0.015625, 0.009375, 0.003125, 0.00625, 0.021875, 0.021875, 0.009375, 0.0, 0.146875, 0.05, 0.06562499999999999, 0.0, 0.0125, 0.01875, 0.021875, 0.01875, 0.028125, 0.037500000000000006, 0.015625, 0.046875, 0.0, 0.05625, 0.034375, 0.0125, 0.05, 0.059375, 0.0, 0.0375, 0.009375, 0.00625, 0.028124999999999997, 0.025, 0.040625, 0.00625, 0.028125, 0.0, 0.015625, 0.0125, 0.1, 0.14375000000000002, 0.14375000000000002, 0.04375, 0.16875, 0.040625, 0.028125, 0.021875]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
101,AE140,"[10886, 7222]","[0.2, 0.1]","['dep', 'pg']","[38, 360]","[1, 0]","[[0.2, 0.1], [1, 0]]","[5, 94]","[0.55125, 0.50890625, 0.034375, 0.040625, 0.071875, 0.046875, 0.0625, 0.028125, 0.121875, 0.04375, 0.15000000000000002, 0.040625, 0.1, 0.075, 0.01875, 0.15937500000000002, 0.021875, 0.053125000000000006, 0.021875, 0.04375, 0.009375, 0.0, 0.01875, 0.00625, 0.021875, 0.00625, 0.0, 0.0125, 0.0, 0.0, 0.01875, 0.05, 0.059375, 0.040625, 0.0125, 0.03125, 0.028125, 0.1125, 0.05625, 0.009375, 0.0, 0.025, 0.1375, 0.0625, 0.034375, 0.034375, 0.00625, 0.01875, 0.028125, 0.056249999999999994, 0.0625, 0.0625, 0.021875]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
102,AE142,"[78944, 7335]","[0.1, 0.1]","['pg', 'pg']","[431, 364]","[0, 0]","[[0.1, 0.1], [0, 0]]","[112, 96]","[0.7025, 0.44437499999999996, 0.10625000000000001, 0.01875, 0.125, 0.278125, 0.056249999999999994, 0.059375, 0.11875, 0.009375, 0.084375, 0.01875, 0.065625, 0.03125, 0.021875, 0.128125, 0.03125, 0.021875, 0.0, 0.00625, 0.01875, 0.00625, 0.00625, 0.0, 0.003125, 0.003125, 0.009375, 0.003125, 0.0, 0.0, 0.0, 0.0375, 0.05625, 0.0625, 0.071875, 0.009375, 0.00625, 0.046875, 0.06875, 0.00625, 0.0, 0.046875, 0.009375, 0.046875, 0.0, 0.1, 0.14375000000000002, 0.19062500000000002, 0.0375, 0.146875, 0.05, 0.025, 0.04375]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
103,AE148,"[76322, 9589]","[0.1, 0.2]","['pg', 'pg']","[388, 530]","[0, 0]","[[0.1, 0.2], [0, 0]]","[103, 143]","[0.5697268907499999, 0.5556748949499999, 0.1068985849, 0.025, 0.0514740566, 0.047169811299999996, 0.061340408799999996, 0.0245283019, 0.0144261006, 0.0231525157, 0.013797169800000002, 0.0175314465, 0.0094339623, 0.0157232704, 0.0044025157, 0.0501179245, 0.0200471698, 0.009375, 0.0012578616, 0.028125, 0.0175117925, 0.075, 0.1262578616, 0.00625, 0.0875, 0.015625, 0.009375, 0.018180031399999998, 0.0, 0.0, 0.0, 0.006898584900000001, 0.0037735849000000003, 0.0143867925, 0.021875, 0.0500196541, 0.009375, 0.046914308200000004, 0.022621855299999997, 0.0, 0.0, 0.0012578616, 0.0144654088, 0.0471501572, 0.0093946541, 0.2540487421, 0.19740566040000002, 0.026415094300000004, 0.0288915094, 0.0527319182, 0.0446540881, 0.022641509400000003, 0.0094143082]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
