stimulus,CID,dilution,cmp_ids,dilution_info
A5962,[5962],[0.001],[63],"[[0.001], [0]]"
B5962,[5962],[0.1],[63],"[[0.1], [0]]"
A6050,[6050],[1e-05],[64],"[[1e-05], [0]]"
B6050,[6050],[0.001],[64],"[[0.001], [0]]"
A6054,[6054],[1e-05],[65],"[[1e-05], [0]]"
B6054,[6054],[0.001],[65],"[[0.001], [0]]"
A6057,[6057],[1e-05],[66],"[[1e-05], [0]]"
B6057,[6057],[0.001],[66],"[[0.001], [0]]"
A6106,[6106],[0.001],[67],"[[0.001], [0]]"
B6106,[6106],[0.1],[67],"[[0.1], [0]]"
A6137,[6137],[0.001],[68],"[[0.001], [0]]"
B6137,[6137],[0.1],[68],"[[0.1], [0]]"
A6140,[6140],[0.001],[69],"[[0.001], [0]]"
B6140,[6140],[0.1],[69],"[[0.1], [0]]"
A6184,[6184],[1e-07],[70],"[[1e-07], [0]]"
B6184,[6184],[1e-05],[70],"[[1e-05], [0]]"
A6213,[6213],[0.001],[71],"[[0.001], [0]]"
B6213,[6213],[0.1],[71],"[[0.1], [0]]"
A6274,[6274],[0.001],[72],"[[0.001], [0]]"
B6274,[6274],[0.1],[72],"[[0.1], [0]]"
A6276,[6276],[1e-05],[73],"[[1e-05], [0]]"
B6276,[6276],[0.001],[73],"[[0.001], [0]]"
A6287,[6287],[0.001],[74],"[[0.001], [0]]"
B6287,[6287],[0.1],[74],"[[0.1], [0]]"
A6322,[6322],[0.001],[75],"[[0.001], [0]]"
B6322,[6322],[0.1],[75],"[[0.1], [0]]"
A6386,[6386],[0.001],[76],"[[0.001], [0]]"
B6386,[6386],[0.1],[76],"[[0.1], [0]]"
A6448,[6448],[1e-05],[77],"[[1e-05], [0]]"
B6448,[6448],[0.001],[77],"[[0.001], [0]]"
A6501,[6501],[1e-07],[78],"[[1e-07], [0]]"
B6501,[6501],[1e-05],[78],"[[1e-05], [0]]"
A6505,[6505],[0.001],[79],"[[0.001], [0]]"
B6505,[6505],[0.1],[79],"[[0.1], [0]]"
A6506,[6506],[0.001],[80],"[[0.001], [0]]"
B6506,[6506],[0.1],[80],"[[0.1], [0]]"
A6544,[6544],[1e-05],[81],"[[1e-05], [0]]"
B6544,[6544],[0.001],[81],"[[0.001], [0]]"
A6549,[6549],[1e-05],[82],"[[1e-05], [0]]"
B6549,[6549],[0.001],[82],"[[0.001], [0]]"
A6560,[6560],[1e-05],[83],"[[1e-05], [0]]"
B6560,[6560],[0.001],[83],"[[0.001], [0]]"
A6561,[6561],[1e-05],[84],"[[1e-05], [0]]"
B6561,[6561],[0.001],[84],"[[0.001], [0]]"
A6569,[6569],[1e-05],[85],"[[1e-05], [0]]"
B6569,[6569],[0.001],[85],"[[0.001], [0]]"
A6584,[6584],[0.001],[86],"[[0.001], [0]]"
B6584,[6584],[0.1],[86],"[[0.1], [0]]"
A6590,[6590],[1e-07],[87],"[[1e-07], [0]]"
B6590,[6590],[1e-05],[87],"[[1e-05], [0]]"
A6658,[6658],[1e-05],[88],"[[1e-05], [0]]"
B6658,[6658],[0.001],[88],"[[0.001], [0]]"
A6669,[6669],[0.001],[89],"[[0.001], [0]]"
B6669,[6669],[0.1],[89],"[[0.1], [0]]"
A6753,[6753],[1e-05],[90],"[[1e-05], [0]]"
B6753,[6753],[0.001],[90],"[[0.001], [0]]"
A6826,[6826],[1e-05],[91],"[[1e-05], [0]]"
B6826,[6826],[0.001],[91],"[[0.001], [0]]"
A6920,[6920],[1e-07],[92],"[[1e-07], [0]]"
B6920,[6920],[1e-05],[92],"[[1e-05], [0]]"
A6943,[6943],[1e-05],[93],"[[1e-05], [0]]"
B6943,[6943],[0.001],[93],"[[0.001], [0]]"
A6989,[6989],[1e-05],[94],"[[1e-05], [0]]"
B6989,[6989],[0.001],[94],"[[0.001], [0]]"
A6997,[6997],[1e-05],[95],"[[1e-05], [0]]"
B6997,[6997],[0.001],[95],"[[0.001], [0]]"
A6998,[6998],[1e-05],[96],"[[1e-05], [0]]"
B6998,[6998],[0.001],[96],"[[0.001], [0]]"
A7047,[7047],[1e-05],[97],"[[1e-05], [0]]"
B7047,[7047],[0.001],[97],"[[0.001], [0]]"
A7059,[7059],[1e-05],[98],"[[1e-05], [0]]"
B7059,[7059],[0.001],[98],"[[0.001], [0]]"
A7092,[7092],[0.001],[99],"[[0.001], [0]]"
B7092,[7092],[0.1],[99],"[[0.1], [0]]"
A7095,[7095],[0.001],[100],"[[0.001], [0]]"
B7095,[7095],[0.1],[100],"[[0.1], [0]]"
A7119,[7119],[0.001],[101],"[[0.001], [0]]"
B7119,[7119],[0.1],[101],"[[0.1], [0]]"
A7122,[7122],[0.001],[102],"[[0.001], [0]]"
B7122,[7122],[0.1],[102],"[[0.1], [0]]"
A7127,[7127],[1e-05],[103],"[[1e-05], [0]]"
B7127,[7127],[0.001],[103],"[[0.001], [0]]"
A7136,[7136],[1e-05],[104],"[[1e-05], [0]]"
B7136,[7136],[0.001],[104],"[[0.001], [0]]"
A7137,[7137],[0.001],[105],"[[0.001], [0]]"
B7137,[7137],[0.1],[105],"[[0.1], [0]]"
A7144,[7144],[1e-07],[106],"[[1e-07], [0]]"
B7144,[7144],[1e-05],[106],"[[1e-05], [0]]"
A7147,[7147],[1e-05],[107],"[[1e-05], [0]]"
B7147,[7147],[0.001],[107],"[[0.001], [0]]"
A7150,[7150],[1e-07],[108],"[[1e-07], [0]]"
B7150,[7150],[1e-05],[108],"[[1e-05], [0]]"
A7151,[7151],[0.001],[109],"[[0.001], [0]]"
B7151,[7151],[0.1],[109],"[[0.1], [0]]"
A7165,[7165],[1e-05],[110],"[[1e-05], [0]]"
B7165,[7165],[0.001],[110],"[[0.001], [0]]"
A7194,[7194],[0.001],[111],"[[0.001], [0]]"
B7194,[7194],[0.1],[111],"[[0.1], [0]]"
A7288,[7288],[1e-05],[112],"[[1e-05], [0]]"
B7288,[7288],[0.001],[112],"[[0.001], [0]]"
A7302,[7302],[1e-05],[113],"[[1e-05], [0]]"
B7302,[7302],[0.001],[113],"[[0.001], [0]]"
A7335,[7335],[1e-05],[114],"[[1e-05], [0]]"
B7335,[7335],[0.001],[114],"[[0.001], [0]]"
A7341,[7341],[1e-07],[115],"[[1e-07], [0]]"
B7341,[7341],[1e-05],[115],"[[1e-05], [0]]"
A7360,[7360],[1e-05],[116],"[[1e-05], [0]]"
B7360,[7360],[0.001],[116],"[[0.001], [0]]"
A7361,[7361],[1e-05],[117],"[[1e-05], [0]]"
B7361,[7361],[0.001],[117],"[[0.001], [0]]"
A7409,[7409],[1e-05],[118],"[[1e-05], [0]]"
B7409,[7409],[0.001],[118],"[[0.001], [0]]"
A7410,[7410],[1e-05],[119],"[[1e-05], [0]]"
B7410,[7410],[0.001],[119],"[[0.001], [0]]"
A7463,[7463],[0.001],[120],"[[0.001], [0]]"
B7463,[7463],[0.1],[120],"[[0.1], [0]]"
A7476,[7476],[0.001],[121],"[[0.001], [0]]"
B7476,[7476],[0.1],[121],"[[0.1], [0]]"
A7500,[7500],[1e-05],[122],"[[1e-05], [0]]"
B7500,[7500],[0.001],[122],"[[0.001], [0]]"
A7519,[7519],[1e-05],[123],"[[1e-05], [0]]"
B7519,[7519],[0.001],[123],"[[0.001], [0]]"
A7559,[7559],[1e-05],[124],"[[1e-05], [0]]"
B7559,[7559],[0.001],[124],"[[0.001], [0]]"
A7583,[7583],[1e-05],[125],"[[1e-05], [0]]"
B7583,[7583],[0.001],[125],"[[0.001], [0]]"
A7593,[7593],[1e-05],[126],"[[1e-05], [0]]"
B7593,[7593],[0.001],[126],"[[0.001], [0]]"
A7601,[7601],[1e-05],[127],"[[1e-05], [0]]"
B7601,[7601],[0.001],[127],"[[0.001], [0]]"
A7632,[7632],[1e-05],[128],"[[1e-05], [0]]"
B7632,[7632],[0.001],[128],"[[0.001], [0]]"
A7635,[7635],[1e-05],[129],"[[1e-05], [0]]"
B7635,[7635],[0.001],[129],"[[0.001], [0]]"
A7654,[7654],[1e-05],[130],"[[1e-05], [0]]"
B7654,[7654],[0.001],[130],"[[0.001], [0]]"
A7657,[7657],[0.001],[131],"[[0.001], [0]]"
B7657,[7657],[0.1],[131],"[[0.1], [0]]"
A7695,[7695],[1e-05],[132],"[[1e-05], [0]]"
B7695,[7695],[0.001],[132],"[[0.001], [0]]"
A7720,[7720],[1e-05],[133],"[[1e-05], [0]]"
B7720,[7720],[0.001],[133],"[[0.001], [0]]"
A7731,[7731],[1e-05],[134],"[[1e-05], [0]]"
B7731,[7731],[0.001],[134],"[[0.001], [0]]"
A7749,[7749],[1e-05],[135],"[[1e-05], [0]]"
B7749,[7749],[0.001],[135],"[[0.001], [0]]"
A7761,[7761],[1e-05],[136],"[[1e-05], [0]]"
B7761,[7761],[0.001],[136],"[[0.001], [0]]"
A7762,[7762],[1e-05],[137],"[[1e-05], [0]]"
B7762,[7762],[0.001],[137],"[[0.001], [0]]"
A7765,[7765],[1e-05],[138],"[[1e-05], [0]]"
B7765,[7765],[0.001],[138],"[[0.001], [0]]"
A7768,[7768],[0.001],[139],"[[0.001], [0]]"
B7768,[7768],[0.1],[139],"[[0.1], [0]]"
A7770,[7770],[1e-05],[140],"[[1e-05], [0]]"
B7770,[7770],[0.001],[140],"[[0.001], [0]]"
A7792,[7792],[1e-05],[141],"[[1e-05], [0]]"
B7792,[7792],[0.001],[141],"[[0.001], [0]]"
A7793,[7793],[1e-05],[142],"[[1e-05], [0]]"
B7793,[7793],[0.001],[142],"[[0.001], [0]]"
A7795,[7795],[1e-05],[143],"[[1e-05], [0]]"
B7795,[7795],[0.001],[143],"[[0.001], [0]]"
A7797,[7797],[1e-05],[144],"[[1e-05], [0]]"
B7797,[7797],[0.001],[144],"[[0.001], [0]]"
A7799,[7799],[1e-05],[145],"[[1e-05], [0]]"
B7799,[7799],[0.001],[145],"[[0.001], [0]]"
A7803,[7803],[1e-05],[146],"[[1e-05], [0]]"
B7803,[7803],[0.001],[146],"[[0.001], [0]]"
A7820,[7820],[0.001],[147],"[[0.001], [0]]"
B7820,[7820],[0.1],[147],"[[0.1], [0]]"
A7824,[7824],[1e-05],[148],"[[1e-05], [0]]"
B7824,[7824],[0.001],[148],"[[0.001], [0]]"
A7826,[7826],[1e-05],[149],"[[1e-05], [0]]"
B7826,[7826],[0.001],[149],"[[0.001], [0]]"
A7894,[7894],[1e-07],[150],"[[1e-07], [0]]"
B7894,[7894],[1e-05],[150],"[[1e-05], [0]]"
A7915,[7915],[1e-05],[151],"[[1e-05], [0]]"
B7915,[7915],[0.001],[151],"[[0.001], [0]]"
A7916,[7916],[1e-07],[152],"[[1e-07], [0]]"
B7916,[7916],[1e-05],[152],"[[1e-05], [0]]"
A7921,[7921],[1e-05],[153],"[[1e-05], [0]]"
B7921,[7921],[0.001],[153],"[[0.001], [0]]"
A7937,[7937],[1e-05],[154],"[[1e-05], [0]]"
B7937,[7937],[0.001],[154],"[[0.001], [0]]"
A7967,[7967],[1e-05],[155],"[[1e-05], [0]]"
B7967,[7967],[0.001],[155],"[[0.001], [0]]"
A7969,[7969],[1e-07],[156],"[[1e-07], [0]]"
B7969,[7969],[1e-05],[156],"[[1e-05], [0]]"
A7983,[7983],[1e-05],[157],"[[1e-05], [0]]"
B7983,[7983],[0.001],[157],"[[0.001], [0]]"
A7991,[7991],[1e-07],[158],"[[1e-07], [0]]"
B7991,[7991],[1e-05],[158],"[[1e-05], [0]]"
A7997,[7997],[1e-05],[159],"[[1e-05], [0]]"
B7997,[7997],[0.001],[159],"[[0.001], [0]]"
A8007,[8007],[1e-07],[160],"[[1e-07], [0]]"
B8007,[8007],[1e-05],[160],"[[1e-05], [0]]"
A8025,[8025],[0.001],[161],"[[0.001], [0]]"
B8025,[8025],[0.1],[161],"[[0.1], [0]]"
A8030,[8030],[1e-05],[162],"[[1e-05], [0]]"
B8030,[8030],[0.001],[162],"[[0.001], [0]]"
A8038,[8038],[1e-05],[163],"[[1e-05], [0]]"
B8038,[8038],[0.001],[163],"[[0.001], [0]]"
A8042,[8042],[0.001],[164],"[[0.001], [0]]"
B8042,[8042],[0.1],[164],"[[0.1], [0]]"
A8048,[8048],[0.001],[165],"[[0.001], [0]]"
B8048,[8048],[0.1],[165],"[[0.1], [0]]"
A8049,[8049],[0.001],[166],"[[0.001], [0]]"
B8049,[8049],[0.1],[166],"[[0.1], [0]]"
A8051,[8051],[1e-05],[167],"[[1e-05], [0]]"
B8051,[8051],[0.001],[167],"[[0.001], [0]]"
A8063,[8063],[1e-07],[168],"[[1e-07], [0]]"
B8063,[8063],[1e-05],[168],"[[1e-05], [0]]"
A8077,[8077],[1e-05],[169],"[[1e-05], [0]]"
B8077,[8077],[0.001],[169],"[[0.001], [0]]"
A8078,[8078],[0.001],[170],"[[0.001], [0]]"
B8078,[8078],[0.1],[170],"[[0.1], [0]]"
A8082,[8082],[1e-05],[171],"[[1e-05], [0]]"
B8082,[8082],[0.001],[171],"[[0.001], [0]]"
A8091,[8091],[1e-05],[172],"[[1e-05], [0]]"
B8091,[8091],[0.001],[172],"[[0.001], [0]]"
A8093,[8093],[1e-05],[173],"[[1e-05], [0]]"
B8093,[8093],[0.001],[173],"[[0.001], [0]]"
A8094,[8094],[1e-05],[174],"[[1e-05], [0]]"
B8094,[8094],[0.001],[174],"[[0.001], [0]]"
A8103,[8103],[1e-05],[175],"[[1e-05], [0]]"
B8103,[8103],[0.001],[175],"[[0.001], [0]]"
A8118,[8118],[1e-07],[176],"[[1e-07], [0]]"
B8118,[8118],[1e-05],[176],"[[1e-05], [0]]"
A8122,[8122],[0.001],[177],"[[0.001], [0]]"
B8122,[8122],[0.1],[177],"[[0.1], [0]]"
A8125,[8125],[1e-05],[178],"[[1e-05], [0]]"
B8125,[8125],[0.001],[178],"[[0.001], [0]]"
A8129,[8129],[1e-05],[179],"[[1e-05], [0]]"
B8129,[8129],[0.001],[179],"[[0.001], [0]]"
A8137,[8137],[1e-05],[180],"[[1e-05], [0]]"
B8137,[8137],[0.001],[180],"[[0.001], [0]]"
A8159,[8159],[0.001],[181],"[[0.001], [0]]"
B8159,[8159],[0.1],[181],"[[0.1], [0]]"
A8163,[8163],[0.001],[182],"[[0.001], [0]]"
B8163,[8163],[0.1],[182],"[[0.1], [0]]"
A8174,[8174],[1e-05],[183],"[[1e-05], [0]]"
B8174,[8174],[0.001],[183],"[[0.001], [0]]"
A8175,[8175],[0.001],[184],"[[0.001], [0]]"
B8175,[8175],[0.1],[184],"[[0.1], [0]]"
A8180,[8180],[0.001],[185],"[[0.001], [0]]"
B8180,[8180],[0.1],[185],"[[0.1], [0]]"
A8184,[8184],[0.001],[186],"[[0.001], [0]]"
B8184,[8184],[0.1],[186],"[[0.1], [0]]"
A8186,[8186],[1e-05],[187],"[[1e-05], [0]]"
B8186,[8186],[0.001],[187],"[[0.001], [0]]"
A8193,[8193],[0.001],[188],"[[0.001], [0]]"
B8193,[8193],[0.1],[188],"[[0.1], [0]]"
A8205,[8205],[1e-05],[189],"[[1e-05], [0]]"
B8205,[8205],[0.001],[189],"[[0.001], [0]]"
A8294,[8294],[1e-05],[190],"[[1e-05], [0]]"
B8294,[8294],[0.001],[190],"[[0.001], [0]]"
A8363,[8363],[0.001],[191],"[[0.001], [0]]"
B8363,[8363],[0.1],[191],"[[0.1], [0]]"
A8375,[8375],[1e-05],[192],"[[1e-05], [0]]"
B8375,[8375],[0.001],[192],"[[0.001], [0]]"
A8419,[8419],[0.001],[193],"[[0.001], [0]]"
B8419,[8419],[0.1],[193],"[[0.1], [0]]"
A8438,[8438],[0.001],[194],"[[0.001], [0]]"
B8438,[8438],[0.1],[194],"[[0.1], [0]]"
A8452,[8452],[0.001],[195],"[[0.001], [0]]"
B8452,[8452],[0.1],[195],"[[0.1], [0]]"
A8456,[8456],[0.001],[196],"[[0.001], [0]]"
B8456,[8456],[0.1],[196],"[[0.1], [0]]"
A8467,[8467],[0.001],[197],"[[0.001], [0]]"
B8467,[8467],[0.1],[197],"[[0.1], [0]]"
A8468,[8468],[0.001],[198],"[[0.001], [0]]"
B8468,[8468],[0.1],[198],"[[0.1], [0]]"
A8615,[8615],[0.001],[199],"[[0.001], [0]]"
B8615,[8615],[0.1],[199],"[[0.1], [0]]"
A8635,[8635],[1e-05],[200],"[[1e-05], [0]]"
B8635,[8635],[0.001],[200],"[[0.001], [0]]"
A8658,[8658],[1e-05],[201],"[[1e-05], [0]]"
B8658,[8658],[0.001],[201],"[[0.001], [0]]"
A8697,[8697],[0.001],[202],"[[0.001], [0]]"
B8697,[8697],[0.1],[202],"[[0.1], [0]]"
A8712,[8712],[1e-07],[203],"[[1e-07], [0]]"
B8712,[8712],[1e-05],[203],"[[1e-05], [0]]"
A8723,[8723],[1e-05],[204],"[[1e-05], [0]]"
B8723,[8723],[0.001],[204],"[[0.001], [0]]"
A8785,[8785],[1e-05],[205],"[[1e-05], [0]]"
B8785,[8785],[0.001],[205],"[[0.001], [0]]"
A8797,[8797],[1e-05],[206],"[[1e-05], [0]]"
B8797,[8797],[0.001],[206],"[[0.001], [0]]"
A8815,[8815],[1e-05],[207],"[[1e-05], [0]]"
B8815,[8815],[0.001],[207],"[[0.001], [0]]"
A8857,[8857],[1e-05],[208],"[[1e-05], [0]]"
B8857,[8857],[0.001],[208],"[[0.001], [0]]"
A8878,[8878],[1e-05],[209],"[[1e-05], [0]]"
B8878,[8878],[0.001],[209],"[[0.001], [0]]"
A8892,[8892],[1e-05],[210],"[[1e-05], [0]]"
B8892,[8892],[0.001],[210],"[[0.001], [0]]"
A8908,[8908],[1e-05],[211],"[[1e-05], [0]]"
B8908,[8908],[0.001],[211],"[[0.001], [0]]"
A8914,[8914],[1e-05],[212],"[[1e-05], [0]]"
B8914,[8914],[0.001],[212],"[[0.001], [0]]"
A8918,[8918],[0.001],[213],"[[0.001], [0]]"
B8918,[8918],[0.1],[213],"[[0.1], [0]]"
A9012,[9012],[0.001],[214],"[[0.001], [0]]"
B9012,[9012],[0.1],[214],"[[0.1], [0]]"
A9016,[9016],[1e-07],[215],"[[1e-07], [0]]"
B9016,[9016],[1e-05],[215],"[[1e-05], [0]]"
A9024,[9024],[0.001],[216],"[[0.001], [0]]"
B9024,[9024],[0.1],[216],"[[0.1], [0]]"
A9025,[9025],[1e-05],[217],"[[1e-05], [0]]"
B9025,[9025],[0.001],[217],"[[0.001], [0]]"
A9256,[9256],[1e-05],[218],"[[1e-05], [0]]"
B9256,[9256],[0.001],[218],"[[0.001], [0]]"
A9261,[9261],[1e-05],[219],"[[1e-05], [0]]"
B9261,[9261],[0.001],[219],"[[0.001], [0]]"
A9589,[9589],[1e-05],[220],"[[1e-05], [0]]"
B9589,[9589],[0.001],[220],"[[0.001], [0]]"
A9609,[9609],[1e-07],[221],"[[1e-07], [0]]"
B9609,[9609],[1e-05],[221],"[[1e-05], [0]]"
A9862,[9862],[1e-05],[222],"[[1e-05], [0]]"
B9862,[9862],[0.001],[222],"[[0.001], [0]]"
A10285,[10285],[1e-07],[223],"[[1e-07], [0]]"
B10285,[10285],[1e-05],[223],"[[1e-05], [0]]"
A10364,[10364],[1e-05],[224],"[[1e-05], [0]]"
B10364,[10364],[0.001],[224],"[[0.001], [0]]"
A10400,[10400],[1e-05],[225],"[[1e-05], [0]]"
B10400,[10400],[0.001],[225],"[[0.001], [0]]"
A10430,[10430],[1e-07],[226],"[[1e-07], [0]]"
B10430,[10430],[1e-05],[226],"[[1e-05], [0]]"
A10448,[10448],[1e-07],[227],"[[1e-07], [0]]"
B10448,[10448],[1e-05],[227],"[[1e-05], [0]]"
A10722,[10722],[1e-05],[228],"[[1e-05], [0]]"
B10722,[10722],[0.001],[228],"[[0.001], [0]]"
A10748,[10748],[0.001],[229],"[[0.001], [0]]"
B10748,[10748],[0.1],[229],"[[0.1], [0]]"
A10797,[10797],[1e-07],[230],"[[1e-07], [0]]"
B10797,[10797],[1e-05],[230],"[[1e-05], [0]]"
A10882,[10882],[1e-05],[231],"[[1e-05], [0]]"
B10882,[10882],[0.001],[231],"[[0.001], [0]]"
A10886,[10886],[0.001],[232],"[[0.001], [0]]"
B10886,[10886],[0.1],[232],"[[0.1], [0]]"
A10890,[10890],[1e-05],[233],"[[1e-05], [0]]"
B10890,[10890],[0.001],[233],"[[0.001], [0]]"
A10895,[10895],[1e-05],[234],"[[1e-05], [0]]"
B10895,[10895],[0.001],[234],"[[0.001], [0]]"
A10925,[10925],[1e-07],[235],"[[1e-07], [0]]"
B10925,[10925],[1e-05],[235],"[[1e-05], [0]]"
