stimulus,CID,dilution,solvent,components,solvent_onehot,dilution_info,cmp_ids
AA524,"[62465, 11552]","[0.01, 0.01]","['pg', 'pg']","[285, 65]","[0, 0]","[[0.01, 0.01], [0, 0]]","[74, 12]"
AA592,"[18635, 91497]","[0.001, 1.0]","['pg', 'nt']","[126, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[30, 139]"
AA616,"[14286, 12810]","[0.001, 1.0]","['pg', 'nt']","[100, 96]","[0, 2]","[[0.001, 1.0], [0, 2]]","[24, 21]"
AA618,"[7765, 7921]","[0.001, 1.0]","['pg', 'nt']","[411, 441]","[0, 2]","[[0.001, 1.0], [0, 2]]","[107, 116]"
AA632,"[83623, 11552]","[0.001, 0.01]","['pg', 'pg']","[493, 65]","[0, 0]","[[0.001, 0.01], [0, 0]]","[132, 12]"
AA649,"[20499, 91497]","[0.02, 1.0]","['pg', 'nt']","[133, 526]","[0, 2]","[[0.02, 1.0], [0, 2]]","[32, 139]"
AA700,"[5362720, 114533]","[0.015, 0.1]","['pg', 'pg']","[244, 61]","[0, 0]","[[0.015, 0.1], [0, 0]]","[61, 11]"
AA725,"[16590, 12810]","[0.001, 1.0]","['pg', 'nt']","[121, 96]","[0, 2]","[[0.001, 1.0], [0, 2]]","[28, 21]"
AA808,"[18635, 14286]","[0.001, 0.001]","['pg', 'pg']","[126, 100]","[0, 0]","[[0.001, 0.001], [0, 0]]","[30, 24]"
AA850,"[20499, 6549]","[0.02, 0.1]","['pg', 'pg']","[133, 321]","[0, 0]","[[0.02, 0.1], [0, 0]]","[32, 81]"
AA875,"[439570, 62444]","[0.1, 0.001]","['pg', 'pg']","[213, 282]","[0, 0]","[[0.1, 0.001], [0, 0]]","[50, 73]"
AA886,"[7127, 7921]","[0.2, 1.0]","['pg', 'nt']","[344, 441]","[0, 2]","[[0.2, 1.0], [0, 2]]","[89, 116]"
AA893,"[16590, 114533]","[0.001, 0.1]","['pg', 'pg']","[121, 61]","[0, 0]","[[0.001, 0.1], [0, 0]]","[28, 11]"
AA944,"[6989, 12810]","[0.2, 1.0]","['pg', 'nt']","[339, 96]","[0, 2]","[[0.2, 1.0], [0, 2]]","[86, 21]"
AA962,"[16590, 91497]","[0.001, 1.0]","['pg', 'nt']","[121, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[28, 139]"
AA978,"[7127, 2724126]","[0.2, 0.1]","['pg', 'pg']","[344, 155]","[0, 0]","[[0.2, 0.1], [0, 0]]","[89, 38]"
AA988,"[11552, 12810]","[0.01, 1.0]","['pg', 'nt']","[65, 96]","[0, 2]","[[0.01, 1.0], [0, 2]]","[12, 21]"
AB019,"[7921, 62444]","[1.0, 0.001]","['nt', 'pg']","[441, 282]","[2, 0]","[[1.0, 0.001], [2, 0]]","[116, 73]"
AB026,"[2724126, 62444]","[0.1, 0.001]","['pg', 'pg']","[155, 282]","[0, 0]","[[0.1, 0.001], [0, 0]]","[38, 73]"
AB036,"[2724126, 12810]","[0.1, 1.0]","['pg', 'nt']","[155, 96]","[0, 2]","[[0.1, 1.0], [0, 2]]","[38, 21]"
AB144,"[11552, 62444]","[0.01, 0.001]","['pg', 'pg']","[65, 282]","[0, 0]","[[0.01, 0.001], [0, 0]]","[12, 73]"
AB186,"[11552, 6549]","[0.01, 0.1]","['pg', 'pg']","[65, 321]","[0, 0]","[[0.01, 0.1], [0, 0]]","[12, 81]"
AB193,"[91497, 62444]","[1.0, 0.001]","['nt', 'pg']","[526, 282]","[2, 0]","[[1.0, 0.001], [2, 0]]","[139, 73]"
AB222,"[91497, 12810]","[1.0, 1.0]","['nt', 'nt']","[526, 96]","[2, 2]","[[1.0, 1.0], [2, 2]]","[139, 21]"
AB223,"[91497, 6549]","[1.0, 0.1]","['nt', 'pg']","[526, 321]","[2, 0]","[[1.0, 0.1], [2, 0]]","[139, 81]"
AB226,"[91497, 114533]","[1.0, 0.1]","['nt', 'pg']","[526, 61]","[2, 0]","[[1.0, 0.1], [2, 0]]","[139, 11]"
AB281,"[439570, 12810]","[0.1, 1.0]","['pg', 'nt']","[213, 96]","[0, 2]","[[0.1, 1.0], [0, 2]]","[50, 21]"
AB287,"[439570, 6549]","[0.1, 0.1]","['pg', 'pg']","[213, 321]","[0, 0]","[[0.1, 0.1], [0, 0]]","[50, 81]"
AB357,"[439570, 114533]","[0.1, 0.1]","['pg', 'pg']","[213, 61]","[0, 0]","[[0.1, 0.1], [0, 0]]","[50, 11]"
AB378,"[439570, 14286]","[0.1, 0.001]","['pg', 'pg']","[213, 100]","[0, 0]","[[0.1, 0.001], [0, 0]]","[50, 24]"
AB379,"[6989, 6549]","[0.2, 0.1]","['pg', 'pg']","[339, 321]","[0, 0]","[[0.2, 0.1], [0, 0]]","[86, 81]"
AB391,"[6989, 114533]","[0.2, 0.1]","['pg', 'pg']","[339, 61]","[0, 0]","[[0.2, 0.1], [0, 0]]","[86, 11]"
AB398,"[6989, 14286]","[0.2, 0.001]","['pg', 'pg']","[339, 100]","[0, 0]","[[0.2, 0.001], [0, 0]]","[86, 24]"
AB399,"[6989, 7921]","[0.2, 1.0]","['pg', 'nt']","[339, 441]","[0, 2]","[[0.2, 1.0], [0, 2]]","[86, 116]"
AB413,"[20499, 114533]","[0.02, 0.1]","['pg', 'pg']","[133, 61]","[0, 0]","[[0.02, 0.1], [0, 0]]","[32, 11]"
AB425,"[20499, 14286]","[0.02, 0.001]","['pg', 'pg']","[133, 100]","[0, 0]","[[0.02, 0.001], [0, 0]]","[32, 24]"
AB435,"[20499, 7921]","[0.02, 1.0]","['pg', 'nt']","[133, 441]","[0, 2]","[[0.02, 1.0], [0, 2]]","[32, 116]"
AB451,"[20499, 2724126]","[0.02, 0.1]","['pg', 'pg']","[133, 155]","[0, 0]","[[0.02, 0.1], [0, 0]]","[32, 38]"
AB465,"[16590, 14286]","[0.001, 0.001]","['pg', 'pg']","[121, 100]","[0, 0]","[[0.001, 0.001], [0, 0]]","[28, 24]"
AB486,"[16590, 7921]","[0.001, 1.0]","['pg', 'nt']","[121, 441]","[0, 2]","[[0.001, 1.0], [0, 2]]","[28, 116]"
AB518,"[16590, 2724126]","[0.001, 0.1]","['pg', 'pg']","[121, 155]","[0, 0]","[[0.001, 0.1], [0, 0]]","[28, 38]"
AB567,"[16590, 11552]","[0.001, 0.01]","['pg', 'pg']","[121, 65]","[0, 0]","[[0.001, 0.01], [0, 0]]","[28, 12]"
AB586,"[5362720, 7921]","[0.015, 1.0]","['pg', 'nt']","[244, 441]","[0, 2]","[[0.015, 1.0], [0, 2]]","[61, 116]"
AB591,"[5362720, 2724126]","[0.015, 0.1]","['pg', 'pg']","[244, 155]","[0, 0]","[[0.015, 0.1], [0, 0]]","[61, 38]"
AB618,"[5362720, 11552]","[0.015, 0.01]","['pg', 'pg']","[244, 65]","[0, 0]","[[0.015, 0.01], [0, 0]]","[61, 12]"
AB633,"[18635, 2724126]","[0.001, 0.1]","['pg', 'pg']","[126, 155]","[0, 0]","[[0.001, 0.1], [0, 0]]","[30, 38]"
AB641,"[18635, 11552]","[0.001, 0.01]","['pg', 'pg']","[126, 65]","[0, 0]","[[0.001, 0.01], [0, 0]]","[30, 12]"
AB672,"[18635, 439570]","[0.001, 0.1]","['pg', 'pg']","[126, 213]","[0, 0]","[[0.001, 0.1], [0, 0]]","[30, 50]"
AB676,"[7765, 11552]","[0.001, 0.01]","['pg', 'pg']","[411, 65]","[0, 0]","[[0.001, 0.01], [0, 0]]","[107, 12]"
AB707,"[7765, 439570]","[0.001, 0.1]","['pg', 'pg']","[411, 213]","[0, 0]","[[0.001, 0.1], [0, 0]]","[107, 50]"
AB731,"[7765, 6989]","[0.001, 0.2]","['pg', 'pg']","[411, 339]","[0, 0]","[[0.001, 0.2], [0, 0]]","[107, 86]"
AB744,"[7127, 91497]","[0.2, 1.0]","['pg', 'nt']","[344, 526]","[0, 2]","[[0.2, 1.0], [0, 2]]","[89, 139]"
AB764,"[7127, 439570]","[0.2, 0.1]","['pg', 'pg']","[344, 213]","[0, 0]","[[0.2, 0.1], [0, 0]]","[89, 50]"
AB771,"[7127, 6989]","[0.2, 0.2]","['pg', 'pg']","[344, 339]","[0, 0]","[[0.2, 0.2], [0, 0]]","[89, 86]"
AB817,"[7127, 20499]","[0.2, 0.02]","['pg', 'pg']","[344, 133]","[0, 0]","[[0.2, 0.02], [0, 0]]","[89, 32]"
AB841,"[62465, 439570]","[0.01, 0.1]","['pg', 'pg']","[285, 213]","[0, 0]","[[0.01, 0.1], [0, 0]]","[74, 50]"
AB873,"[62465, 6989]","[0.01, 0.2]","['pg', 'pg']","[285, 339]","[0, 0]","[[0.01, 0.2], [0, 0]]","[74, 86]"
AB920,"[62465, 20499]","[0.01, 0.02]","['pg', 'pg']","[285, 133]","[0, 0]","[[0.01, 0.02], [0, 0]]","[74, 32]"
AB935,"[62465, 16590]","[0.01, 0.001]","['pg', 'pg']","[285, 121]","[0, 0]","[[0.01, 0.001], [0, 0]]","[74, 28]"
AB958,"[83623, 6989]","[0.001, 0.2]","['pg', 'pg']","[493, 339]","[0, 0]","[[0.001, 0.2], [0, 0]]","[132, 86]"
AB981,"[83623, 20499]","[0.001, 0.02]","['pg', 'pg']","[493, 133]","[0, 0]","[[0.001, 0.02], [0, 0]]","[132, 32]"
AB988,"[83623, 16590]","[0.001, 0.001]","['pg', 'pg']","[493, 121]","[0, 0]","[[0.001, 0.001], [0, 0]]","[132, 28]"
AB992,"[83623, 5362720]","[0.001, 0.015]","['pg', 'pg']","[493, 244]","[0, 0]","[[0.001, 0.015], [0, 0]]","[132, 61]"
AC024,"[325, 12297]","[0.2, 0.001]","['pg', 'pg']","[184, 84]","[0, 0]","[[0.2, 0.001], [0, 0]]","[45, 18]"
AC028,"[460, 11002]","[0.1, 0.0007]","['pg', 'dep']","[220, 53]","[0, 1]","[[0.1, 0.0007], [0, 1]]","[52, 7]"
AC033,"[7144, 93009]","[0.01, 0.01]","['pg', 'pg']","[345, 529]","[0, 0]","[[0.01, 0.01], [0, 0]]","[90, 142]"
AC040,"[7909, 12206]","[0.001, 0.001]","['pg', 'pg']","[432, 83]","[0, 0]","[[0.001, 0.001], [0, 0]]","[113, 17]"
AC067,"[460, 12206]","[0.1, 0.001]","['pg', 'pg']","[220, 83]","[0, 0]","[[0.1, 0.001], [0, 0]]","[52, 17]"
AC105,"[7144, 61982]","[0.01, 0.0001]","['pg', 'pg']","[345, 281]","[0, 0]","[[0.01, 0.0001], [0, 0]]","[90, 72]"
AC155,"[7969, 14286]","[1e-05, 0.01]","['pg', 'pg']","[450, 103]","[0, 0]","[[1e-05, 0.01], [0, 0]]","[119, 24]"
AC214,"[7909, 61982]","[0.001, 0.0001]","['pg', 'pg']","[432, 281]","[0, 0]","[[0.001, 0.0001], [0, 0]]","[113, 72]"
AC220,"[12206, 20499]","[0.001, 0.05]","['pg', 'dep']","[83, 134]","[0, 1]","[[0.001, 0.05], [0, 1]]","[17, 32]"
AC299,"[7165, 61527]","[0.01, 0.001]","['pg', 'pg']","[357, 264]","[0, 0]","[[0.01, 0.001], [0, 0]]","[93, 67]"
AC327,"[7144, 12297]","[0.01, 0.001]","['pg', 'pg']","[345, 84]","[0, 0]","[[0.01, 0.001], [0, 0]]","[90, 18]"
AC329,"[7144, 61527]","[0.01, 0.001]","['pg', 'pg']","[345, 264]","[0, 0]","[[0.01, 0.001], [0, 0]]","[90, 67]"
AC340,"[7969, 20499]","[1e-05, 0.05]","['pg', 'dep']","[450, 134]","[0, 1]","[[1e-05, 0.05], [0, 1]]","[119, 32]"
AC394,"[326, 11002]","[0.01, 0.0007]","['pg', 'dep']","[189, 53]","[0, 1]","[[0.01, 0.0007], [0, 1]]","[47, 7]"
AC445,"[7969, 11552]","[1e-05, 0.001]","['pg', 'pg']","[450, 63]","[0, 0]","[[1e-05, 0.001], [0, 0]]","[119, 12]"
AC459,"[325, 12206]","[0.2, 0.001]","['pg', 'pg']","[184, 83]","[0, 0]","[[0.2, 0.001], [0, 0]]","[45, 17]"
AC478,"[11002, 14286]","[0.0007, 0.01]","['dep', 'pg']","[53, 103]","[1, 0]","[[0.0007, 0.01], [1, 0]]","[7, 24]"
AC497,"[7969, 93009]","[1e-05, 0.01]","['pg', 'pg']","[450, 529]","[0, 0]","[[1e-05, 0.01], [0, 0]]","[119, 142]"
AC557,"[7165, 11552]","[0.01, 0.001]","['pg', 'pg']","[357, 63]","[0, 0]","[[0.01, 0.001], [0, 0]]","[93, 12]"
AC627,"[460, 61527]","[0.1, 0.001]","['pg', 'pg']","[220, 264]","[0, 0]","[[0.1, 0.001], [0, 0]]","[52, 67]"
AC676,"[460, 12297]","[0.1, 0.001]","['pg', 'pg']","[220, 84]","[0, 0]","[[0.1, 0.001], [0, 0]]","[52, 18]"
AC712,"[326, 12206]","[0.01, 0.001]","['pg', 'pg']","[189, 83]","[0, 0]","[[0.01, 0.001], [0, 0]]","[47, 17]"
AC729,"[7909, 61527]","[0.001, 0.001]","['pg', 'pg']","[432, 264]","[0, 0]","[[0.001, 0.001], [0, 0]]","[113, 67]"
AC737,"[7909, 12297]","[0.001, 0.001]","['pg', 'pg']","[432, 84]","[0, 0]","[[0.001, 0.001], [0, 0]]","[113, 18]"
AC754,"[7969, 61982]","[1e-05, 0.0001]","['pg', 'pg']","[450, 281]","[0, 0]","[[1e-05, 0.0001], [0, 0]]","[119, 72]"
AC761,"[11002, 20499]","[0.0007, 0.05]","['dep', 'dep']","[53, 134]","[1, 1]","[[0.0007, 0.05], [1, 1]]","[7, 32]"
AC820,"[325, 11002]","[0.2, 0.0007]","['pg', 'dep']","[184, 53]","[0, 1]","[[0.2, 0.0007], [0, 1]]","[45, 7]"
AC930,"[7165, 61982]","[0.01, 0.0001]","['pg', 'pg']","[357, 281]","[0, 0]","[[0.01, 0.0001], [0, 0]]","[93, 72]"
AC933,"[7165, 93009]","[0.01, 0.01]","['pg', 'pg']","[357, 529]","[0, 0]","[[0.01, 0.01], [0, 0]]","[93, 142]"
AC958,"[326, 12297]","[0.01, 0.001]","['pg', 'pg']","[189, 84]","[0, 0]","[[0.01, 0.001], [0, 0]]","[47, 18]"
AD011,"[7969, 18635]","[1e-05, 0.001]","['pg', 'pg']","[450, 126]","[0, 0]","[[1e-05, 0.001], [0, 0]]","[119, 30]"
AD015,"[12206, 62465]","[0.001, 0.01]","['pg', 'pg']","[83, 285]","[0, 0]","[[0.001, 0.01], [0, 0]]","[17, 74]"
AD038,"[11002, 16590]","[0.0007, 0.001]","['dep', 'pg']","[53, 121]","[1, 0]","[[0.0007, 0.001], [1, 0]]","[7, 28]"
AD048,"[7969, 83623]","[1e-05, 0.001]","['pg', 'pg']","[450, 493]","[0, 0]","[[1e-05, 0.001], [0, 0]]","[119, 132]"
AD062,"[12206, 7765]","[0.001, 0.001]","['pg', 'pg']","[83, 411]","[0, 0]","[[0.001, 0.001], [0, 0]]","[17, 107]"
AD074,"[7969, 7765]","[1e-05, 0.001]","['pg', 'pg']","[450, 411]","[0, 0]","[[1e-05, 0.001], [0, 0]]","[119, 107]"
AD075,"[7144, 5362720]","[0.01, 0.015]","['pg', 'pg']","[345, 244]","[0, 0]","[[0.01, 0.015], [0, 0]]","[90, 61]"
AD085,"[460, 6989]","[0.1, 0.2]","['pg', 'pg']","[220, 339]","[0, 0]","[[0.1, 0.2], [0, 0]]","[52, 86]"
AD101,"[7144, 18635]","[0.01, 0.001]","['pg', 'pg']","[345, 126]","[0, 0]","[[0.01, 0.001], [0, 0]]","[90, 30]"
AD120,"[460, 20499]","[0.1, 0.02]","['pg', 'pg']","[220, 133]","[0, 0]","[[0.1, 0.02], [0, 0]]","[52, 32]"
AD132,"[325, 439570]","[0.2, 0.1]","['pg', 'pg']","[184, 213]","[0, 0]","[[0.2, 0.1], [0, 0]]","[45, 50]"
AD133,"[7969, 7127]","[1e-05, 0.2]","['pg', 'pg']","[450, 344]","[0, 0]","[[1e-05, 0.2], [0, 0]]","[119, 89]"
AD222,"[7909, 20499]","[0.001, 0.02]","['pg', 'pg']","[432, 133]","[0, 0]","[[0.001, 0.02], [0, 0]]","[113, 32]"
AD230,"[7144, 6989]","[0.01, 0.2]","['pg', 'pg']","[345, 339]","[0, 0]","[[0.01, 0.2], [0, 0]]","[90, 86]"
AD234,"[325, 6989]","[0.2, 0.2]","['pg', 'pg']","[184, 339]","[0, 0]","[[0.2, 0.2], [0, 0]]","[45, 86]"
AD254,"[460, 5362720]","[0.1, 0.015]","['pg', 'pg']","[220, 244]","[0, 0]","[[0.1, 0.015], [0, 0]]","[52, 61]"
AD315,"[7165, 5362720]","[0.01, 0.015]","['pg', 'pg']","[357, 244]","[0, 0]","[[0.01, 0.015], [0, 0]]","[93, 61]"
AD317,"[460, 439570]","[0.1, 0.1]","['pg', 'pg']","[220, 213]","[0, 0]","[[0.1, 0.1], [0, 0]]","[52, 50]"
AD329,"[326, 439570]","[0.01, 0.1]","['pg', 'pg']","[189, 213]","[0, 0]","[[0.01, 0.1], [0, 0]]","[47, 50]"
AD347,"[326, 20499]","[0.01, 0.02]","['pg', 'pg']","[189, 133]","[0, 0]","[[0.01, 0.02], [0, 0]]","[47, 32]"
AD386,"[7909, 16590]","[0.001, 0.001]","['pg', 'pg']","[432, 121]","[0, 0]","[[0.001, 0.001], [0, 0]]","[113, 28]"
AD427,"[11002, 7127]","[0.0007, 0.2]","['dep', 'pg']","[53, 344]","[1, 0]","[[0.0007, 0.2], [1, 0]]","[7, 89]"
AD462,"[11002, 62465]","[0.0007, 0.01]","['dep', 'pg']","[53, 285]","[1, 0]","[[0.0007, 0.01], [1, 0]]","[7, 74]"
AD481,"[7165, 18635]","[0.01, 0.001]","['pg', 'pg']","[357, 126]","[0, 0]","[[0.01, 0.001], [0, 0]]","[93, 30]"
AD505,"[7165, 16590]","[0.01, 0.001]","['pg', 'pg']","[357, 121]","[0, 0]","[[0.01, 0.001], [0, 0]]","[93, 28]"
AD567,"[7969, 62465]","[1e-05, 0.01]","['pg', 'pg']","[450, 285]","[0, 0]","[[1e-05, 0.01], [0, 0]]","[119, 74]"
AD635,"[12206, 83623]","[0.001, 0.001]","['pg', 'pg']","[83, 493]","[0, 0]","[[0.001, 0.001], [0, 0]]","[17, 132]"
AD639,"[7165, 7127]","[0.01, 0.2]","['pg', 'pg']","[357, 344]","[0, 0]","[[0.01, 0.2], [0, 0]]","[93, 89]"
AD649,"[12206, 18635]","[0.001, 0.001]","['pg', 'pg']","[83, 126]","[0, 0]","[[0.001, 0.001], [0, 0]]","[17, 30]"
AD659,"[7144, 7765]","[0.01, 0.001]","['pg', 'pg']","[345, 411]","[0, 0]","[[0.01, 0.001], [0, 0]]","[90, 107]"
AD690,"[326, 16590]","[0.01, 0.001]","['pg', 'pg']","[189, 121]","[0, 0]","[[0.01, 0.001], [0, 0]]","[47, 28]"
AD718,"[11002, 7765]","[0.0007, 0.001]","['dep', 'pg']","[53, 411]","[1, 0]","[[0.0007, 0.001], [1, 0]]","[7, 107]"
