stimulus,CID,dilution,solvent,components,solvent_onehot,cmp_ids,dilution_weakness,dilution_info
AA385,"[12810, 62465]","[1.0, 0.01]","['nt', 'pg']","[96, 285]","[2, 0]","[21, 74]","[1.0, 0.04522613065326633]","[[1.0, 0.01], [2, 0], [1.0, 0.04522613065326633]]"
AA387,"[83623, 439570]","[0.001, 0.1]","['pg', 'pg']","[493, 213]","[0, 0]","[132, 50]","[1.0, 0.1596638655462185]","[[0.001, 0.1], [0, 0], [1.0, 0.1596638655462185]]"
AA420,"[91497, 5362720]","[1.0, 0.015]","['nt', 'pg']","[526, 244]","[2, 0]","[139, 61]","[1.0, 0.3622448979591837]","[[1.0, 0.015], [2, 0], [1.0, 0.3622448979591837]]"
AA444,"[7765, 14286]","[0.001, 0.001]","['pg', 'pg']","[411, 100]","[0, 0]","[107, 24]","[0.0015052684395383843, 0.009009009009009009]","[[0.001, 0.001], [0, 0], [0.0015052684395383843, 0.009009009009009009]]"
AA474,"[11552, 12810]","[0.01, 1.0]","['pg', 'nt']","[65, 96]","[0, 2]","[12, 21]","[0.09547738693467335, 1.0]","[[0.01, 1.0], [0, 2], [0.09547738693467335, 1.0]]"
AA476,"[7921, 18635]","[1.0, 0.001]","['nt', 'pg']","[441, 126]","[2, 0]","[116, 30]","[1.0, 0.09954977488744372]","[[1.0, 0.001], [2, 0], [1.0, 0.09954977488744372]]"
AA495,"[14286, 12810]","[0.001, 1.0]","['pg', 'nt']","[100, 96]","[0, 2]","[24, 21]","[0.009009009009009009, 1.0]","[[0.001, 1.0], [0, 2], [0.009009009009009009, 1.0]]"
AA513,"[62444, 12810]","[0.001, 1.0]","['pg', 'nt']","[282, 96]","[0, 2]","[73, 21]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AA524,"[11552, 62465]","[0.01, 0.01]","['pg', 'pg']","[65, 285]","[0, 0]","[12, 74]","[0.09547738693467335, 0.04522613065326633]","[[0.01, 0.01], [0, 0], [0.09547738693467335, 0.04522613065326633]]"
AA592,"[91497, 18635]","[1.0, 0.001]","['nt', 'pg']","[526, 126]","[2, 0]","[139, 30]","[1.0, 0.09954977488744372]","[[1.0, 0.001], [2, 0], [1.0, 0.09954977488744372]]"
AA616,"[14286, 12810]","[0.001, 1.0]","['pg', 'nt']","[100, 96]","[0, 2]","[24, 21]","[0.009009009009009009, 1.0]","[[0.001, 1.0], [0, 2], [0.009009009009009009, 1.0]]"
AA618,"[7921, 7765]","[1.0, 0.001]","['nt', 'pg']","[441, 411]","[2, 0]","[116, 107]","[1.0, 0.0015052684395383843]","[[1.0, 0.001], [2, 0], [1.0, 0.0015052684395383843]]"
AA632,"[83623, 11552]","[0.001, 0.01]","['pg', 'pg']","[493, 65]","[0, 0]","[132, 12]","[1.0, 0.09547738693467335]","[[0.001, 0.01], [0, 0], [1.0, 0.09547738693467335]]"
AA649,"[91497, 20499]","[1.0, 0.02]","['nt', 'pg']","[526, 133]","[2, 0]","[139, 32]","[1.0, 0.03171953255425709]","[[1.0, 0.02], [2, 0], [1.0, 0.03171953255425709]]"
AA700,"[114533, 5362720]","[0.1, 0.015]","['pg', 'pg']","[61, 244]","[0, 0]","[11, 61]","[1.0, 0.3622448979591837]","[[0.1, 0.015], [0, 0], [1.0, 0.3622448979591837]]"
AA725,"[16590, 12810]","[0.001, 1.0]","['pg', 'nt']","[121, 96]","[0, 2]","[28, 21]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AA808,"[14286, 18635]","[0.001, 0.001]","['pg', 'pg']","[100, 126]","[0, 0]","[24, 30]","[0.009009009009009009, 0.09954977488744372]","[[0.001, 0.001], [0, 0], [0.009009009009009009, 0.09954977488744372]]"
AA850,"[6549, 20499]","[0.1, 0.02]","['pg', 'pg']","[321, 133]","[0, 0]","[81, 32]","[0.6648344282075345, 0.03171953255425709]","[[0.1, 0.02], [0, 0], [0.6648344282075345, 0.03171953255425709]]"
AA875,"[62444, 439570]","[0.001, 0.1]","['pg', 'pg']","[282, 213]","[0, 0]","[73, 50]","[1.0, 0.1596638655462185]","[[0.001, 0.1], [0, 0], [1.0, 0.1596638655462185]]"
AA886,"[7921, 7127]","[1.0, 0.2]","['nt', 'pg']","[441, 344]","[2, 0]","[116, 89]","[1.0, 1.0]","[[1.0, 0.2], [2, 0], [1.0, 1.0]]"
AA893,"[16590, 114533]","[0.001, 0.1]","['pg', 'pg']","[121, 61]","[0, 0]","[28, 11]","[1.0, 1.0]","[[0.001, 0.1], [0, 0], [1.0, 1.0]]"
AA944,"[6989, 12810]","[0.2, 1.0]","['pg', 'nt']","[339, 96]","[0, 2]","[86, 21]","[1.0, 1.0]","[[0.2, 1.0], [0, 2], [1.0, 1.0]]"
AA962,"[16590, 91497]","[0.001, 1.0]","['pg', 'nt']","[121, 526]","[0, 2]","[28, 139]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AA978,"[7127, 2724126]","[0.2, 0.1]","['pg', 'pg']","[344, 155]","[0, 0]","[89, 38]","[1.0, 1.0]","[[0.2, 0.1], [0, 0], [1.0, 1.0]]"
AA988,"[11552, 12810]","[0.01, 1.0]","['pg', 'nt']","[65, 96]","[0, 2]","[12, 21]","[0.09547738693467335, 1.0]","[[0.01, 1.0], [0, 2], [0.09547738693467335, 1.0]]"
AB019,"[7921, 62444]","[1.0, 0.001]","['nt', 'pg']","[441, 282]","[2, 0]","[116, 73]","[1.0, 1.0]","[[1.0, 0.001], [2, 0], [1.0, 1.0]]"
AB026,"[2724126, 62444]","[0.1, 0.001]","['pg', 'pg']","[155, 282]","[0, 0]","[38, 73]","[1.0, 1.0]","[[0.1, 0.001], [0, 0], [1.0, 1.0]]"
AB036,"[2724126, 12810]","[0.1, 1.0]","['pg', 'nt']","[155, 96]","[0, 2]","[38, 21]","[1.0, 1.0]","[[0.1, 1.0], [0, 2], [1.0, 1.0]]"
AB144,"[62444, 11552]","[0.001, 0.01]","['pg', 'pg']","[282, 65]","[0, 0]","[73, 12]","[1.0, 0.09547738693467335]","[[0.001, 0.01], [0, 0], [1.0, 0.09547738693467335]]"
AB186,"[6549, 11552]","[0.1, 0.01]","['pg', 'pg']","[321, 65]","[0, 0]","[81, 12]","[0.6648344282075345, 0.09547738693467335]","[[0.1, 0.01], [0, 0], [0.6648344282075345, 0.09547738693467335]]"
AB193,"[91497, 62444]","[1.0, 0.001]","['nt', 'pg']","[526, 282]","[2, 0]","[139, 73]","[1.0, 1.0]","[[1.0, 0.001], [2, 0], [1.0, 1.0]]"
AB222,"[91497, 12810]","[1.0, 1.0]","['nt', 'nt']","[526, 96]","[2, 2]","[139, 21]","[1.0, 1.0]","[[1.0, 1.0], [2, 2], [1.0, 1.0]]"
AB223,"[91497, 6549]","[1.0, 0.1]","['nt', 'pg']","[526, 321]","[2, 0]","[139, 81]","[1.0, 0.6648344282075345]","[[1.0, 0.1], [2, 0], [1.0, 0.6648344282075345]]"
AB226,"[91497, 114533]","[1.0, 0.1]","['nt', 'pg']","[526, 61]","[2, 0]","[139, 11]","[1.0, 1.0]","[[1.0, 0.1], [2, 0], [1.0, 1.0]]"
AB281,"[12810, 439570]","[1.0, 0.1]","['nt', 'pg']","[96, 213]","[2, 0]","[21, 50]","[1.0, 0.1596638655462185]","[[1.0, 0.1], [2, 0], [1.0, 0.1596638655462185]]"
AB287,"[6549, 439570]","[0.1, 0.1]","['pg', 'pg']","[321, 213]","[0, 0]","[81, 50]","[0.6648344282075345, 0.1596638655462185]","[[0.1, 0.1], [0, 0], [0.6648344282075345, 0.1596638655462185]]"
AB357,"[114533, 439570]","[0.1, 0.1]","['pg', 'pg']","[61, 213]","[0, 0]","[11, 50]","[1.0, 0.1596638655462185]","[[0.1, 0.1], [0, 0], [1.0, 0.1596638655462185]]"
AB378,"[14286, 439570]","[0.001, 0.1]","['pg', 'pg']","[100, 213]","[0, 0]","[24, 50]","[0.009009009009009009, 0.1596638655462185]","[[0.001, 0.1], [0, 0], [0.009009009009009009, 0.1596638655462185]]"
AB379,"[6549, 6989]","[0.1, 0.2]","['pg', 'pg']","[321, 339]","[0, 0]","[81, 86]","[0.6648344282075345, 1.0]","[[0.1, 0.2], [0, 0], [0.6648344282075345, 1.0]]"
AB391,"[114533, 6989]","[0.1, 0.2]","['pg', 'pg']","[61, 339]","[0, 0]","[11, 86]","[1.0, 1.0]","[[0.1, 0.2], [0, 0], [1.0, 1.0]]"
AB398,"[6989, 14286]","[0.2, 0.001]","['pg', 'pg']","[339, 100]","[0, 0]","[86, 24]","[1.0, 0.009009009009009009]","[[0.2, 0.001], [0, 0], [1.0, 0.009009009009009009]]"
AB399,"[7921, 6989]","[1.0, 0.2]","['nt', 'pg']","[441, 339]","[2, 0]","[116, 86]","[1.0, 1.0]","[[1.0, 0.2], [2, 0], [1.0, 1.0]]"
AB413,"[114533, 20499]","[0.1, 0.02]","['pg', 'pg']","[61, 133]","[0, 0]","[11, 32]","[1.0, 0.03171953255425709]","[[0.1, 0.02], [0, 0], [1.0, 0.03171953255425709]]"
AB425,"[14286, 20499]","[0.001, 0.02]","['pg', 'pg']","[100, 133]","[0, 0]","[24, 32]","[0.009009009009009009, 0.03171953255425709]","[[0.001, 0.02], [0, 0], [0.009009009009009009, 0.03171953255425709]]"
AB435,"[7921, 20499]","[1.0, 0.02]","['nt', 'pg']","[441, 133]","[2, 0]","[116, 32]","[1.0, 0.03171953255425709]","[[1.0, 0.02], [2, 0], [1.0, 0.03171953255425709]]"
AB451,"[2724126, 20499]","[0.1, 0.02]","['pg', 'pg']","[155, 133]","[0, 0]","[38, 32]","[1.0, 0.03171953255425709]","[[0.1, 0.02], [0, 0], [1.0, 0.03171953255425709]]"
AB465,"[16590, 14286]","[0.001, 0.001]","['pg', 'pg']","[121, 100]","[0, 0]","[28, 24]","[1.0, 0.009009009009009009]","[[0.001, 0.001], [0, 0], [1.0, 0.009009009009009009]]"
AB486,"[16590, 7921]","[0.001, 1.0]","['pg', 'nt']","[121, 441]","[0, 2]","[28, 116]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AB518,"[16590, 2724126]","[0.001, 0.1]","['pg', 'pg']","[121, 155]","[0, 0]","[28, 38]","[1.0, 1.0]","[[0.001, 0.1], [0, 0], [1.0, 1.0]]"
AB567,"[16590, 11552]","[0.001, 0.01]","['pg', 'pg']","[121, 65]","[0, 0]","[28, 12]","[1.0, 0.09547738693467335]","[[0.001, 0.01], [0, 0], [1.0, 0.09547738693467335]]"
AB586,"[7921, 5362720]","[1.0, 0.015]","['nt', 'pg']","[441, 244]","[2, 0]","[116, 61]","[1.0, 0.3622448979591837]","[[1.0, 0.015], [2, 0], [1.0, 0.3622448979591837]]"
AB591,"[2724126, 5362720]","[0.1, 0.015]","['pg', 'pg']","[155, 244]","[0, 0]","[38, 61]","[1.0, 0.3622448979591837]","[[0.1, 0.015], [0, 0], [1.0, 0.3622448979591837]]"
AB618,"[5362720, 11552]","[0.015, 0.01]","['pg', 'pg']","[244, 65]","[0, 0]","[61, 12]","[0.3622448979591837, 0.09547738693467335]","[[0.015, 0.01], [0, 0], [0.3622448979591837, 0.09547738693467335]]"
AB633,"[2724126, 18635]","[0.1, 0.001]","['pg', 'pg']","[155, 126]","[0, 0]","[38, 30]","[1.0, 0.09954977488744372]","[[0.1, 0.001], [0, 0], [1.0, 0.09954977488744372]]"
AB641,"[11552, 18635]","[0.01, 0.001]","['pg', 'pg']","[65, 126]","[0, 0]","[12, 30]","[0.09547738693467335, 0.09954977488744372]","[[0.01, 0.001], [0, 0], [0.09547738693467335, 0.09954977488744372]]"
AB672,"[18635, 439570]","[0.001, 0.1]","['pg', 'pg']","[126, 213]","[0, 0]","[30, 50]","[0.09954977488744372, 0.1596638655462185]","[[0.001, 0.1], [0, 0], [0.09954977488744372, 0.1596638655462185]]"
AB676,"[7765, 11552]","[0.001, 0.01]","['pg', 'pg']","[411, 65]","[0, 0]","[107, 12]","[0.0015052684395383843, 0.09547738693467335]","[[0.001, 0.01], [0, 0], [0.0015052684395383843, 0.09547738693467335]]"
AB707,"[7765, 439570]","[0.001, 0.1]","['pg', 'pg']","[411, 213]","[0, 0]","[107, 50]","[0.0015052684395383843, 0.1596638655462185]","[[0.001, 0.1], [0, 0], [0.0015052684395383843, 0.1596638655462185]]"
AB731,"[6989, 7765]","[0.2, 0.001]","['pg', 'pg']","[339, 411]","[0, 0]","[86, 107]","[1.0, 0.0015052684395383843]","[[0.2, 0.001], [0, 0], [1.0, 0.0015052684395383843]]"
AB744,"[7127, 91497]","[0.2, 1.0]","['pg', 'nt']","[344, 526]","[0, 2]","[89, 139]","[1.0, 1.0]","[[0.2, 1.0], [0, 2], [1.0, 1.0]]"
AB764,"[7127, 439570]","[0.2, 0.1]","['pg', 'pg']","[344, 213]","[0, 0]","[89, 50]","[1.0, 0.1596638655462185]","[[0.2, 0.1], [0, 0], [1.0, 0.1596638655462185]]"
AB771,"[7127, 6989]","[0.2, 0.2]","['pg', 'pg']","[344, 339]","[0, 0]","[89, 86]","[1.0, 1.0]","[[0.2, 0.2], [0, 0], [1.0, 1.0]]"
AB817,"[7127, 20499]","[0.2, 0.02]","['pg', 'pg']","[344, 133]","[0, 0]","[89, 32]","[1.0, 0.03171953255425709]","[[0.2, 0.02], [0, 0], [1.0, 0.03171953255425709]]"
AB841,"[62465, 439570]","[0.01, 0.1]","['pg', 'pg']","[285, 213]","[0, 0]","[74, 50]","[0.04522613065326633, 0.1596638655462185]","[[0.01, 0.1], [0, 0], [0.04522613065326633, 0.1596638655462185]]"
AB873,"[6989, 62465]","[0.2, 0.01]","['pg', 'pg']","[339, 285]","[0, 0]","[86, 74]","[1.0, 0.04522613065326633]","[[0.2, 0.01], [0, 0], [1.0, 0.04522613065326633]]"
AB920,"[20499, 62465]","[0.02, 0.01]","['pg', 'pg']","[133, 285]","[0, 0]","[32, 74]","[0.03171953255425709, 0.04522613065326633]","[[0.02, 0.01], [0, 0], [0.03171953255425709, 0.04522613065326633]]"
AB935,"[16590, 62465]","[0.001, 0.01]","['pg', 'pg']","[121, 285]","[0, 0]","[28, 74]","[1.0, 0.04522613065326633]","[[0.001, 0.01], [0, 0], [1.0, 0.04522613065326633]]"
AB958,"[83623, 6989]","[0.001, 0.2]","['pg', 'pg']","[493, 339]","[0, 0]","[132, 86]","[1.0, 1.0]","[[0.001, 0.2], [0, 0], [1.0, 1.0]]"
AB981,"[83623, 20499]","[0.001, 0.02]","['pg', 'pg']","[493, 133]","[0, 0]","[132, 32]","[1.0, 0.03171953255425709]","[[0.001, 0.02], [0, 0], [1.0, 0.03171953255425709]]"
AB988,"[16590, 83623]","[0.001, 0.001]","['pg', 'pg']","[121, 493]","[0, 0]","[28, 132]","[1.0, 1.0]","[[0.001, 0.001], [0, 0], [1.0, 1.0]]"
AB992,"[83623, 5362720]","[0.001, 0.015]","['pg', 'pg']","[493, 244]","[0, 0]","[132, 61]","[1.0, 0.3622448979591837]","[[0.001, 0.015], [0, 0], [1.0, 0.3622448979591837]]"
AC024,"[325, 12297]","[0.2, 0.001]","['pg', 'pg']","[184, 84]","[0, 0]","[45, 18]","[1.0, 0.0]","[[0.2, 0.001], [0, 0], [1.0, 0.0]]"
AC028,"[460, 11002]","[0.1, 0.0007]","['pg', 'dep']","[220, 53]","[0, 1]","[52, 7]","[0.09090909090909093, 1.0]","[[0.1, 0.0007], [0, 1], [0.09090909090909093, 1.0]]"
AC033,"[7144, 93009]","[0.01, 0.01]","['pg', 'pg']","[345, 529]","[0, 0]","[90, 142]","[1.0, 1.0]","[[0.01, 0.01], [0, 0], [1.0, 1.0]]"
AC040,"[7909, 12206]","[0.001, 0.001]","['pg', 'pg']","[432, 83]","[0, 0]","[113, 17]","[1.0, 1.0]","[[0.001, 0.001], [0, 0], [1.0, 1.0]]"
AC067,"[460, 12206]","[0.1, 0.001]","['pg', 'pg']","[220, 83]","[0, 0]","[52, 17]","[0.09090909090909093, 1.0]","[[0.1, 0.001], [0, 0], [0.09090909090909093, 1.0]]"
AC105,"[7144, 61982]","[0.01, 0.0001]","['pg', 'pg']","[345, 281]","[0, 0]","[90, 72]","[1.0, 1.0]","[[0.01, 0.0001], [0, 0], [1.0, 1.0]]"
AC155,"[14286, 7969]","[0.01, 1e-05]","['pg', 'pg']","[103, 450]","[0, 0]","[24, 119]","[0.09909909909909911, 0.09090909090909091]","[[0.01, 1e-05], [0, 0], [0.09909909909909911, 0.09090909090909091]]"
AC214,"[7909, 61982]","[0.001, 0.0001]","['pg', 'pg']","[432, 281]","[0, 0]","[113, 72]","[1.0, 1.0]","[[0.001, 0.0001], [0, 0], [1.0, 1.0]]"
AC220,"[20499, 12206]","[0.05, 0.001]","['dep', 'pg']","[134, 83]","[1, 0]","[32, 17]","[0.08180300500834725, 1.0]","[[0.05, 0.001], [1, 0], [0.08180300500834725, 1.0]]"
AC299,"[7165, 61527]","[0.01, 0.001]","['pg', 'pg']","[357, 264]","[0, 0]","[93, 67]","[0.16114790286975716, 0.0]","[[0.01, 0.001], [0, 0], [0.16114790286975716, 0.0]]"
AC327,"[12297, 7144]","[0.001, 0.01]","['pg', 'pg']","[84, 345]","[0, 0]","[18, 90]","[0.0, 1.0]","[[0.001, 0.01], [0, 0], [0.0, 1.0]]"
AC329,"[7144, 61527]","[0.01, 0.001]","['pg', 'pg']","[345, 264]","[0, 0]","[90, 67]","[1.0, 0.0]","[[0.01, 0.001], [0, 0], [1.0, 0.0]]"
AC340,"[20499, 7969]","[0.05, 1e-05]","['dep', 'pg']","[134, 450]","[1, 0]","[32, 119]","[0.08180300500834725, 0.09090909090909091]","[[0.05, 1e-05], [1, 0], [0.08180300500834725, 0.09090909090909091]]"
