CID,SMILES
110,CCC(C)(O)CC
111,CCOC(=O)C1OC1(C)c1ccccc1
112,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
113,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
114,CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC
115,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C
116,CC1=CC(=O)CC(C)(C)C1
117,CCC(C)(O)CCCC(C)C
118,C=CC(C)(O)CCC=C(C)C
119,CC(C)CN
120,CC(C)CO
121,CC(C)C=O
122,CCC(C)O
123,CCC(C)=O
124,C=CC(C)=O
125,COC(C)=O
126,CC(C)C(=O)O
127,C=C1C2CCC(C2)C1(C)C
128,CC(=O)OC(C)(C)C1CCC(C)CC1
129,CC1=CCC2CC1C2(C)C
130,C=C(C)C(=O)OC
131,Cc1c[nH]c2ccccc12
132,COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-]
133,CNc1ccccc1C(=O)OC
134,CC(C)COC(=O)c1ccccc1O
135,CC(C)CCOC(=O)c1ccccc1O
136,CCOC(=O)c1ccccc1N
137,O=C1OCc2ccccc21
138,CCC(CC)C(=O)O
139,O=C(O)c1ccco1
140,Cc1ccc(C(C)(C)C)c(O)c1
141,CC(C)c1ccccc1O
142,CC(C)=C1CCC(C)C2=C(C1)C(C)CC2
143,CC1CCC(C(C)C)C(OC(=O)c2ccccc2O)C1
144,CC(=O)c1ccc(C)cc1C
145,CC1=CC(=O)C(C(C)C)CC1
146,Cc1ccc(C(C)C)c(O)c1
147,O=Cc1ccccc1O
148,Cc1cccc2ccccc12
149,COc1cccc(OC)c1O
150,COc1ccccc1OC
151,c1ccc2ncccc2c1
152,Cc1ccc2ccccc2c1
153,Sc1ccc2ccccc2c1
154,Cc1ccc2ncccc2c1
155,Cc1ccc2oc(=O)ccc2c1
156,c1ccc(-c2ccccc2)cc1
157,COc1ccc2ccccc2c1
158,CC(=O)c1ccc2ccccc2c1
159,C=CCc1ccc(OC)c(OC)c1
160,CCOc1ccc2ccccc2c1
161,CC(C)Cc1ccc2ccccc2n1
162,C=CCc1ccc(OC(C)=O)c(OC)c1
163,COc1cc(C)ccc1O
164,CC(C=O)c1ccccc1
165,CCC(O)c1ccccc1
166,CCC(=O)c1ccccc1
167,COC(=O)c1ccccc1
168,COC(=O)c1cccnc1
169,CCOC(=O)c1ccccc1
170,CC(=O)CC(=O)c1ccccc1
171,O=C(Oc1ccccc1)c1ccccc1
172,CCOC(=O)CC(=O)c1ccccc1
173,CCCOC(=O)c1ccc(O)cc1
174,CCCCOC(=O)c1ccc(O)cc1
175,CC(C)CCOC(=O)c1ccccc1
176,O=C(OCCc1ccccc1)c1ccccc1
177,c1ccc2scnc2c1
178,Cc1cc2ccccc2[nH]1
179,Cc1nc2ccccc2o1
180,Cc1ccc(O)cc1C
181,Cc1ccc(C)c(O)c1
182,CCC(C)C=O
183,CCC(=O)CC
184,O=C1CCCO1
185,Cn1cccc1
186,C=C(C)C1CC=C(C)C(OC(C)=O)C1
187,CCOC(=O)C(C)C
188,CCOC(=O)C(C)O
189,CC(C)COC(=O)C(C)C
190,CCCCOC(=O)C(C)C
191,CCC(CC)CO
192,CCC(C=O)CC
193,OCC1CCCO1
194,O=Cc1ccco1
195,SCc1ccco1
196,O=Cc1cccs1
197,CC(C)(C)C1CCC(O)CC1
198,CC(C)(C)C1CCC(=O)CC1
199,CC(C)(C)c1ccc(O)cc1
200,CC(O)c1ccccc1
201,CC(=O)c1ccccc1
202,O=C(O)C1CCCCC1
203,C=C(C)C1CC=C(C)C(O)C1
204,COC(=O)c1ccc(C)cc1
205,CC1=CCC(C(C)C)C=C1
206,CC1=CCC(C(C)C)=CC1
207,CC1=CC=C(C(C)C)CC1
208,Cc1ccc(C(C)C)cc1
209,CC(C)c1ccc(O)cc1
210,CC(=O)c1ccc(O)cc1
211,COc1ccc(C(C)=O)cc1
212,COc1ccc(C(=O)O)cc1
213,C=Cc1ccccc1
214,SCc1ccccc1
215,COc1ccccc1
216,CSc1ccccc1
217,CCc1ccccn1
218,COc1cccc(C)c1
219,CC(C)(O)Cc1ccccc1
220,COC(=O)Cc1ccccc1
221,c1ccc(CC2OCCO2)cc1
222,c1ccc(Cc2ccccc2)cc1
223,c1ccc(Oc2ccccc2)cc1
224,CCOC(=O)Cc1ccccc1
225,O=C(Cc1ccccc1)Cc1ccccc1
226,COc1ccc(COC(=O)Cc2ccccc2)cc1
227,CC(C)CCOC(=O)Cc1ccccc1
228,O=C(Cc1ccccc1)OCCc1ccccc1
229,CCCN(CCC)CCC
230,CC(C)(O)CCc1ccccc1
231,CC(=O)OC(C)(C)CCc1ccccc1
232,CCCCC(CC)COC(C)=O
233,COC(=O)CCc1ccccc1
234,CC(C)C(=O)OCc1ccccc1
235,CCCC(=O)OCc1ccccc1
236,CC(C)CC(=O)OCc1ccccc1
237,CC(=O)OCCc1ccccc1
238,CC(C)C(=O)OCCc1ccccc1
239,c1ccc(COCc2ccccc2)cc1
240,CCCC(=O)OCCc1ccccc1
241,CC(C)C(=O)OCCCc1ccccc1
242,Cc1ccc(OC(=O)C(C)C)cc1
243,COc1ccc(COC(C)=O)cc1
244,CCCc1ccc(OC)cc1
245,CCCCC1CCC(=O)O1
246,O=CCCc1ccccc1
247,O=COCc1ccccc1
248,O=COCCc1ccccc1
249,CCCCC(CC)CO
250,Cc1ccc(C=O)cc1
251,CCc1ccc(C)nc1
252,COc1ccc(C)cc1
253,CC(C)COC(=O)CCc1ccco1
254,COc1ccc(CO)cc1
255,CCCC1CCC(=O)O1
256,CCOC(=O)CC
257,CCC(C)CC(=O)O
258,COC(=O)CC(C)=O
259,CCC(C)OC(C)=O
260,CCOC(=O)CC(=O)OCC
261,CCCC(=O)OCC
262,CCOC(C)OCC
263,O=C1CCCCCN1
264,CCCOC(=O)CCC
265,Cc1ccc(O)c(C)c1
266,CCC(=O)OCCC(C)C
267,CCCCCC(=O)OCC(C)C
268,CC(C)=CCCC(C)CCOC=O
269,C=C(C)CCCC(C)CCOC(=O)CC
270,CCCOC(=O)CCCCC(=O)OCCC
271,CC(C)CCCC(C)CCO
272,CC(C)=CCCC(C)CCO
273,CCCC(=O)OCCC(C)C
274,CCCCCCC(=O)OCC
275,CCCCCCCC(=O)OCC
276,CCCCCCCCCCCC(=O)OCC
277,CCCCC(=O)CC
278,CCCOC(=O)CC
279,COC(=O)CCC(=O)OC
280,CCCCCC(=O)OC
281,CCCCCCC(=O)OC
282,C=CC=O
283,CCCS
284,C=CCO
285,O=CC=O
286,COC=O
287,CC(CC=O)CCCC(C)(C)O
288,CCCC(C)=O
289,CC(=O)CC(C)C
290,CC(C)CC(C)O
291,CC(=O)OC(C)C
292,C=C(C)OC(C)=O
293,CC1CCC(=O)O1
294,Cc1ccnc(C)c1
295,Cc1cccc(C)n1
296,Cc1cncc(C)n1
297,COC(=O)CC(=O)OC
298,CCOC(=O)CC(C)C
299,CC(C)CC(O)CC(C)C
300,CC(C)CC(=O)CC(C)C
301,CC(=O)OC(C)CC(C)C
302,OC1CCCCC1
303,O=C1CCCCC1
304,Sc1ccccc1
305,CC1CCCCN1
306,Cc1ccccn1
307,Cc1cnccn1
308,CCCCOC(=O)CC(C)C
309,CCCCOC(=O)CCC
310,O=C1CCCCCCCCCCCCCCCO1
311,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
312,C=CCCC(C)=O
313,CCCCC(=O)O
314,CCCOC(C)=O
315,CCCCN
316,CCCCS
317,SCCCS
318,CCNCC
319,CCOC=O
320,CCON=O
321,c1cc[nH]c1
322,c1ccoc1
323,c1ccsc1
324,CC(=O)OCC(C)C
325,CCCCCCCCCCCCCC(=O)OC(C)C
326,CCCCCCCCCCCCCC(=O)OCCCC
327,CCCCCCCCCC(=O)OCC
328,CCOC(=O)CCCCCCCCC(=O)OCC
329,CCCCCCCCCC(=O)OC
330,CCCCCC(C)=O
331,CC(C)CCOC=O
332,CCCCCN
333,CCCCC=O
334,CCCCCS
335,CCCOC=O
336,CCSSCC
337,C1CCNCC1
338,CCCCCCCC(=O)OC
339,CCCCCC#CC(=O)OC
340,CCCCCCC(C)=O
341,CCCCCCC(=O)O
342,CCCCCCN
343,CCCCCCO
344,CCCCCCS
345,C=CCOCCO
346,CCCSCCC
347,CC(=O)OCCOC(C)=O
348,CCCCCCCCCCCCCCCCCC(=O)OCC
349,CCCCCCCO
350,CCCCCCC=O
351,CCCCCCC#CC(=O)OC
352,C=CCCCCCCCCC(=O)OC
353,CCCCCCCCS
354,CCCCCCCCC(=O)O
355,CCCCCCCOC(C)=O
356,CCCCCCCCCC(C)=O
357,CCCCCCCCOC(C)=O
358,CCCCCCCCCCOC(C)=O
359,CCCCCCCOC=O
360,CCCCCCCCCCO
361,CCCCCCCCCC=O
362,CCCCCCCCOC=O
363,CCCCCCCCCCC(=O)O
364,CCCCCCCCCCCCCCCC(=O)OC
365,C=CCCCCCCCCCO
366,CCCCCCCCCCC=O
367,C=CCCCCCCCCC=O
368,CCCCCCCCCCCCO
369,CCCCCCCCCCCC=O
370,CCCCCCCCCCCCS
371,CCCCCCCCCCCCCCCCCC(=O)OC
372,CCCCCCCCCCCCOC(C)=O
373,CCCCCCCCCCCCCO
374,CCCCCCCCCCCCCCO
375,CCCCCCCCCCCCCCCCCCCC
376,C=CC(C)(C)O
377,C=CC(C)(CCC=C(C)C)OC(C)=O
378,CC1CC(O)CC(C)(C)C1
379,CC(=O)CO
380,CCC(C)C(=O)O
381,CC(=O)OC1C=C(C)C2CC(=C(C)C)CC2C(C)C1
382,O=C(Oc1ccccc1)c1ccccc1O
383,O=C(OCc1ccccc1)c1ccccc1O
384,CCOC(=O)c1ccccc1O
385,Cc1occc(=O)c1O
386,CC(=O)c1ccccc1O
387,O=C(c1ccccc1)C(O)c1ccccc1
388,c1ccc2cnccc2c1
389,COc1ccc(C=O)cc1OC
390,O=Cc1ccc2c(c1)OCO2
391,O=C1CCCC1
392,CCOc1cc(C=O)ccc1O
393,COc1cc(C(=O)O)ccc1O
394,CCN(CC)CC
395,COC(=O)c1ccc(OC)cc1
396,CC(=O)c1ccc(C)cc1
397,COC(=O)c1ccccc1N
398,COc1cc(C=O)cc(OC)c1O
399,COc1ccccc1C=O
400,CCCCOC(=O)c1ccccc1
401,Cc1ccccc1S
402,CCC(C)CO
403,CCCCOC(=O)C(C)O
404,C=C(C)C1CCC(C)(O)CC1
405,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
406,CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1
407,O=Cc1ccc(O)c(O)c1
408,CC(=O)OCc1ccccc1
409,CCCCCCCCCCCC(=O)OCc1ccccc1
410,CC(C)CC(=O)OCCc1ccccc1
411,CC(=O)Oc1ccc(C)cc1
412,C=CCc1ccc(OC)cc1
413,C=CC(=O)OCC
414,C=C(C)CCCC(C)CCOC(C)=O
415,CCC(=O)OCCC(C)CCC=C(C)C
416,CCCC(=O)OCCC(C)CCC=C(C)C
417,CCOC(C)=O
418,CC(=O)C=C(C)C
419,COC(CC(C)CCCC(C)(C)O)OC
420,CCOC(=O)CC(C)=O
421,C=CCOC(=O)CCCCCC
422,CCCCCC(=O)O
423,CCCCCCOC(C)=O
424,CCCCOCCCC
425,CCCCCCCCCO
426,CCCCCCCCCOC(C)=O
427,COc1cccc(O)c1
428,c1ccc(CSSCc2ccccc2)cc1
429,COc1ccc(O)cc1
430,COc1ccc(OC)cc1
431,CC(=O)OCCC(C)CCC=C(C)C
432,CC(=O)OC(C)(C)Cc1ccccc1
433,COc1cccc(OC)c1
434,CCC(C)CCC(C)(O)CC
435,c1cscn1
436,c1cnccn1
437,CC(=O)OCc1ccc2c(c1)OCO2
438,CC(=O)c1cccnc1
439,CCSCC
440,CC(=O)CCC=C(C)C
441,CC1=C(C=O)C(C)(C)CCC1
442,CC(C)C12CCC(C)(CC1)O2
443,CC1=CC2C(=C(C)CCC2C(C)C)CC1
444,C=CCc1cc(OC)c(OC)c(OC)c1
445,CC1=CC(O)C(C(C)C)CC1
446,Cc1ccnc2ccccc12
447,CCCC(=O)c1ccccc1
448,OCc1ccc2c(c1)OCO2
449,O=C1C=CCO1
450,CC1CCC(C(C)(C)O)CC1
451,CC1CCC(C(C)C)CC1=O
452,Cc1ccc(C(C)C)cc1O
453,OCCc1ccc(O)cc1
454,CCCCCCCCCCCCCCC1CCC(=O)O1
455,CC(C)=CCCC(C)CC(=O)O
456,CC(=O)CCCC(C)CCCC(C)CCCC(C)C
457,CC(C)CC(=O)O
458,CSCCCO
459,C1CSCCS1
460,C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C
461,CCCC=CC=O
462,CC(=O)S
463,CC(C)CS
464,CCC(C)S
465,CC1(C)C2CC=C(CO)C1C2
466,C=CCc1cc(OC)c2c(c1OC)OCO2
467,Cc1cccc(O)c1C
468,Cc1cc(C)c(O)c(C)c1
469,Cc1ccccc1C=O
470,CC(=O)Oc1ccccc1C
471,COC(C)OC
472,Cc1ccco1
473,Cc1ccc(C(C)O)cc1
474,C=C(C)C1CC=C(CO)CC1
475,CCc1cccnc1
476,COCc1ccccc1
477,CCOCc1ccccc1
478,CCCCC(=O)OCC
479,CCOC(=O)CCC(C)=O
480,CCCC(=O)OCC(C)C
481,CCCCCOC(=O)CCCCC
482,CCC(=O)OCC(C)C
483,SCCS
484,CC(C)CCS
485,CC(C)=CC(=O)O
486,Cc1csc(C)n1
487,CC1CCCCCCCCCCCCC(=O)C1
488,CC(C)COC=O
489,CCN=C=S
490,C=CC(=C)CCCC(C)(C)O
491,CCCCCC(C)O
492,CCCCSCCCC
493,CCCCCCCCCCCCCC(=O)O
494,CC1C(=O)CC2CC1C2(C)C
495,COC(=O)C(C)C
496,CC(=O)c1ccccc1N
497,CCC(=O)OC
498,Cc1cccs1
499,COC(=O)CC(C)C
500,CN=C=S
501,CC(C)=CCO
502,CCCOC(=O)CC(C)C
503,CC1=CCC(O)(C(C)C)CC1
504,CC(=O)C(C)C
505,CCC(=O)C(C)C
506,Cc1cccc(C)c1O
507,CC(=O)c1ccccc1C
508,CC(=O)C(=O)c1ccccc1
509,C=CCOC(=O)c1ccccc1
510,CCCCOC(=O)c1ccco1
511,CC1CCCCC1=O
512,CCC(O)CC
513,CCCCCC(=O)C(C)=O
514,CC1=CCC(=C(C)C)CC1
515,CC(C)C1=CCC(C)(O)CC1
516,Cc1ccc(CO)cc1
517,CCC(C)CCO
518,CCCC(=O)CC
519,CCCC(O)CCC
520,CC(C)COC(=O)CC(C)C
521,CCCCCCCC(=O)OCCCC
522,CCCCC(O)CC
523,CC1CCC(=O)CC1
524,CCCCCC(O)CC
525,CCCCOC(=O)CC
526,CCCC(C)(C)O
527,CC(C)CC=O
528,CC1=CCC(=O)O1
529,CC1CCCC(=O)C1
530,COc1cccc(C=O)c1
531,CCCCOC(=O)CC(C)=O
532,CC(=O)CCC(=O)O
533,CCCCC(C)=O
534,CC(=O)COC(C)=O
535,CCCCN=C=S
536,CCCCOC=O
537,C=CCSCC=C
538,CCCCCCCCCCCC(C)=O
539,CC(C)C(C)O
540,CCC(=O)C(C)=O
541,CC(C)OC(=O)c1ccccc1O
542,COC(=O)c1ccco1
543,CCOC(=O)c1ccco1
544,CCCOC(=O)c1ccco1
545,CSc1nc2ccccc2s1
546,C=CC(O)CC
547,CCOC(=O)c1ccc(O)c(OC)c1
548,CCOC(=O)C(C)=O
549,CC(C)OC(=O)C(C)C
550,CC(C)(O)c1ccccc1
551,C=C(C)C1CCC(C)C(O)C1
552,Cc1ccc(C=O)o1
553,CCc1cccc(O)c1
554,Cc1cccc(C=O)c1
555,CC(=O)OC1CCCCC1
556,CCOc1ccc(O)cc1
557,CC(=O)OCc1ccco1
558,CCCC(O)CC
559,CCCC(=O)OC
560,CC(=O)OCC(C)OC(C)=O
561,CCCCC(=O)OC
562,CCC(C)COC(C)=O
563,CCCCCCC(O)CC
564,CCCCCOC(=O)CC
565,CCSC
566,CSSC
567,CC(C)OC=O
568,CC(C)SC(C)C
569,Cc1ccc(C)o1
570,CCCC(C)OC(C)=O
571,CCCCCC(=O)OCCC
572,CCCCCC(=O)OCCCC
573,CC(C)CCCO
574,CCCCC(C)O
575,CCCCCCCCCCC(=O)OCC
576,COC(=O)CCCCC(=O)OC
577,CCCCSC
578,CC(C)CCCC(=O)O
579,CCCCCOC(C)=O
580,CCCCCCCCCCCCCCCC(=O)OCC
581,CCCCCCCC(C)O
582,CCCSSCCC
583,CCCCSSCCCC
584,CCCCCCCCCCCCCCC
585,CC(=O)OCC1CCCO1
586,C=Cc1ccc(OC)cc1
587,CCC(=O)OC(C)C
588,Cc1ccc(C)s1
589,CC1NC(C)SC(C)S1
590,CCCCCOC=O
591,CCCCCCCCCCCCC(=O)O
592,Cc1ccc(-c2ccccc2)cc1
593,CCCc1ccccc1O
594,CCCOC(=O)C(C)C
595,CC(=O)c1ccc(C(C)C)cc1
596,CCCc1ccc(O)cc1
597,CC(C)CCC(=O)O
598,CCCCCCCCCCCCCCCCCC(=O)OCC(C)C
599,CC(C)CCOC(=O)CC(C)C
600,C=CCCCCCCCCC(=O)OCC
601,CCCCCCCCC(C)=O
602,Cc1cscn1
603,CCC1CCC(=O)O1
604,CCCC1CCCC(=O)O1
605,CSSCc1ccccc1
606,CC(=O)CCc1ccco1
607,CCCCCC1CCCC(=O)O1
608,CCCCCCC1CCC(=O)O1
609,CCCCCCCC1CCCC(=O)O1
610,C=C(C)CCO
611,CSCc1ccccc1
612,CCCCCCCC(C)=O
613,CC1CCCC(=O)O1
614,CC1(C)SC(C)(C)SC(C)(C)S1
615,CCC(C)C(=O)OC
616,C=CCS
617,c1ccc(SSc2ccccc2)cc1
618,CCCCCCCC(=O)CC
619,O=C1C=CCCC1
620,CCc1ccc(C(C)=O)cc1
621,CC(C)OC(=O)c1ccccc1
622,CC(=O)c1cccc2ccccc12
623,CCCCCCCCCCCCCCC(=O)O
624,O=C1CCCS1
625,O=Cc1ccc[nH]1
626,CC(=O)c1ccc[nH]1
627,COc1cc(C)ccc1C(C)C
628,CCCCCCCC(=O)OCCCCCC
629,C=CC(OC(=O)CC(C)C)C(C)CC=C(C)C
630,C=CC(=C)CCCC(C)(C)OC(C)=O
631,CC(=O)c1ccccn1
632,CC(CO)c1ccccc1
633,Cc1nc(C)c(C)nc1C
634,COc1ccc(C(C)=O)cc1OC
635,C=C1CCC2OC2(C)CCC2C1CC2(C)C
636,CCCCCC(C)C(=O)O
637,CC(=O)OCC=C(C)C
638,SCCCCCCS
639,SCCCCCCCCS
640,CC(=O)c1ccco1
641,CC1=CC(=O)CCC1
642,CC(=O)c1ccc(C)o1
643,Cc1ccc(C(C)(C)O)cc1
644,C=C1CCC2CC1C2(C)C
645,c1coc(Cn2cccc2)c1
646,CC(=O)c1cc(C)ccc1O
647,COC(=O)CC(C)O
648,CCC(C)CCC(=O)O
649,SC1CCCCC1
650,CCCCCC1OCC(C)O1
651,CSCSC
652,C=CC(=O)CC
653,C=CC(=O)CCC
654,COC(C)(C)C
655,CCCCCCCS
656,CCCCCCCCCC(C)O
657,SC1CCCC1
658,CCCCCCCCCCCOC(C)=O
659,CCCCCCCCC(=O)OC
660,CCCCCCCCCCC(=O)OC
661,CC(C)=CC(=O)OC(C)C
662,C=CCOC(=O)Cc1ccccc1
663,CCOC(=O)CCc1ccccc1
664,CCCCCCCC(=O)OCCC(C)C
665,CCCCCOC(=O)c1ccccc1
666,CCCCCOC(=O)c1ccccc1O
667,C=CCSSSCC=C
668,C=CCOC(=O)CCC
669,CCCCOC(=O)CCC(C)=O
670,C=CCCC=O
671,C=C(C)C1CC=C(C=O)CC1
672,CC1=CCC(C(C)(C)OC=O)CC1
673,CC(C)COc1ccc2ccccc2c1
674,C=CCSSCC=C
675,C=CCSSCCC
676,CCCSSC
677,CCCCCC(=O)OCCC(C)C
678,CCCCCCCOC(=O)CC
679,S=C=NCCc1ccccc1
680,CCCCCc1ccccn1
681,CCCCCCCCC1CCC(=O)O1
682,CCCCCC(=O)OC(C)C
683,CCCCCCCCCC(=O)OC(C)C
684,CCCOC(=O)c1ccccc1
685,CC1=NCCS1
686,CCCCCCOC(=O)C(C)C
687,CCCCCC=CC=CC=O
688,Cc1nc2ccccc2nc1C
689,CCC1C=CC(=O)O1
690,CC1CCCC(C)(C)C1=O
691,COC(=O)CCC(C)C
692,CC1=CCC(C(C)(C)O)CC1
693,C=CC(CCCCC)OC(C)=O
694,CCC(C)COC(=O)C(C)CC
695,CCCCCCC=CC=O
696,COc1cc(C(C)=O)cc(OC)c1O
697,CC(=O)CCc1ccccc1
698,C1CCC(SSC2CCCCC2)CC1
699,CCCCCCOC(=O)CCC
700,CCOC(C)CC
701,C=CCOC(=O)CCC1CCCCC1
702,COC(=O)c1ccccc1NC(C)=O
703,CC1=CC(=O)CC1
704,CC1SC(C)SC(C)S1
705,CCCc1ccc(O)c(OC)c1
706,C=CCOC(=O)CC(C)C
707,COc1nccnc1C
708,CSS(C)(=O)=O
709,CC(C)C(C)C(C)(C)O
710,COc1cnccn1
711,CCc1ccco1
712,CSCCC=O
713,CCOC(=O)C1CCCCC1
714,CCCCC1CCCC(=O)O1
715,C=C1CCC2(C(C)C)CC12
716,C=CC(O)CCCCC
717,CC(CCO)CC(C)(C)C
718,COCCc1ccccc1
719,CC(=O)CCc1ccc(OC(C)=O)cc1
720,O=C(O)COc1ccccc1
721,CC1=C(O)C(=O)C(C)O1
722,CSSSC
723,C=C(C)CC(C)=O
724,CCCCCc1ccco1
725,CCCCCCCc1ccco1
726,CC(=O)CCC=C(C)CCC=C(C)C
727,CCOC(CC(C)C)OCC
728,CCCC(=O)C(C)=O
729,CCCSC
730,CCOC(=O)C(C)(C)C
731,COC(=O)c1ccc(O)c(OC)c1
732,CCCCCCC(C)O
733,C=CCOC(=O)CCCCCCC
734,Cc1cc2ccccc2o1
735,CCCC(=O)Oc1ccccc1
736,CCCCCCC1OCC(C)O1
737,O=COC1CCCCC1
738,O=C1CCC2CCCCC2O1
739,c1coc(CSSCc2ccco2)c1
740,OCCC1CCCCC1
741,CCCCc1ccco1
742,CC(C)C1CCC(O)CC1
743,CC(C)=CCCC(C)O
744,COC(=O)C1CCCCC1
745,CCc1ccc(C=O)cc1
746,C=CC(O)CCC
747,CCCCCc1cccs1
748,O=C1CCCC1C1CCCC1
749,C=CC(O)CCCC
750,CCc1occc(=O)c1O
751,C=CCCCCCC(C)=O
752,CC(C)=CCOC(=O)c1ccccc1
753,O=C(O)CC1CCCCC1
754,CCCCCCOC(C)OCCCCCC
755,CC(CC=O)CC(C)(C)C
756,CCCCCCC(=O)OCCCC
757,CCCCCCCC(=O)OC(C)C
758,CCOC(=O)CCS
759,CC(=O)CCc1ccc(O)cc1
760,Cc1nccnc1C
761,C=CC1(C)CCC(C(C)(C)O)O1
762,C=C(C)C1CC=C(C)CC1
763,CCCSSSCCC
764,CCCC(C)O
765,CCCCCCCCCCC(C)=O
766,CC(=O)OCCOc1ccccc1
767,CCCCCCOC(=O)c1ccccc1O
768,CCCCCCCCCCCCOC(=O)C(C)O
769,CCCCCCOC(=O)CCCCC
770,CSCCSC
771,CCCCC=CC=CC=O
772,CCCCCCOC(=O)c1ccccc1
773,c1csc(SSc2cccs2)c1
774,CCCCCC(=O)OCc1ccccc1
775,CC(C)OC(=O)CCCCC(=O)OC(C)C
776,C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N
777,COc1ccccc1S
778,CCOC(=O)C(C)CC
779,CCCCOC(=O)C(C)OC(=O)CCC
780,CC(=O)C(=O)C(C)C
781,C=CCOC(=O)COc1ccccc1
782,CCOC(=O)CC(O)C(=O)OCC
783,CCCCOC(=O)c1ccccc1N
784,C=C(C)C1CCC(C)C(=O)C1
785,Nc1ccccc1C(=O)OC1CCCCC1
786,CCCCCCCCCC(OC)OC
787,CC(C)COC(=O)c1ccccc1N
788,CCCCCCC(=O)OCC(C)C
789,CCCCCCC(C)C=O
790,C=C(C)C1CCC(C)CC1O
791,CCOc1ccc(C=O)cc1
